cond	medium	cov	log2ptr	passed	growth_rate	pred_log2ptr
frag	M4	10.0000	0.3964	True	1.3718	1.5315
frag	M4	1.0000	0.2336	False	1.3718	1.5315
frag	M4	2.0000	0.3161	True	1.3718	1.5315
frag	M4	5.0000	0.3518	True	1.3718	1.5315
frag	M6	0.5000	0.2651	False	1.3549	1.3298
frag	M6	10.0000	0.2767	True	1.3549	1.3298
frag	M6	1.0000	0.2173	False	1.3549	1.3298
frag	M6	2.0000	0.2836	True	1.3549	1.3298
frag	M6	5.0000	0.2819	True	1.3549	1.3298
frag	RUN_OUT	0.5000	0.1498	False		
frag	RUN_OUT	10.0000	0.0588	True		
frag	RUN_OUT	1.0000	0.1920	False		
frag	RUN_OUT	2.0000	0.1353	False		
frag	RUN_OUT	5.0000	0.0504	True		
pileaFrag	M10	0.5000	0.0000	True	1.1500	1.2108
pileaFrag	M10	10.0000	1.1544	True	1.1500	1.2108
pileaFrag	M10	1.0000	1.6180	True	1.1500	1.2108
pileaFrag	M10	2.0000	1.4141	True	1.1500	1.2108
pileaFrag	M10	5.0000	1.2107	True	1.1500	1.2108
pileaFrag	M12	0.5000	0.0000	True	1.0220	1.1568
pileaFrag	M12	10.0000	0.9693	True	1.0220	1.1568
pileaFrag	M12	1.0000	1.9389	True	1.0220	1.1568
pileaFrag	M12	2.0000	1.5608	True	1.0220	1.1568
pileaFrag	M12	5.0000	1.3103	True	1.0220	1.1568
pileaFrag	M13	0.5000	0.0000	True	0.8612	1.0326
pileaFrag	M13	10.0000	1.0041	True	0.8612	1.0326
pileaFrag	M13	1.0000	1.5217	True	0.8612	1.0326
pileaFrag	M13	2.0000	1.4948	True	0.8612	1.0326
pileaFrag	M13	5.0000	1.1754	True	0.8612	1.0326
pileaFrag	M17	0.5000	0.0000	True	0.7440	0.7020
pileaFrag	M17	10.0000	0.7096	True	0.7440	0.7020
pileaFrag	M17	1.0000	1.4371	True	0.7440	0.7020
pileaFrag	M17	2.0000	1.1697	True	0.7440	0.7020
pileaFrag	M17	5.0000	0.9349	True	0.7440	0.7020
pileaFrag	M18	0.5000	0.0000	True	0.7413	0.8578
pileaFrag	M18	10.0000	0.8624	True	0.7413	0.8578
pileaFrag	M18	1.0000	1.3533	True	0.7413	0.8578
pileaFrag	M18	2.0000	1.0939	True	0.7413	0.8578
pileaFrag	M18	5.0000	0.7346	True	0.7413	0.8578
pileaFrag	M19	0.5000	0.0000	True	0.5776	0.8862
pileaFrag	M19	10.0000	1.0259	True	0.5776	0.8862
pileaFrag	M19	1.0000	1.8484	True	0.5776	0.8862
pileaFrag	M19	2.0000	1.3949	True	0.5776	0.8862
pileaFrag	M19	5.0000	1.0723	True	0.5776	0.8862
pileaFrag	M1	0.5000	0.0000	True	1.7207	1.7250
pileaFrag	M1	10.0000	1.7149	True	1.7207	1.7250
pileaFrag	M1	1.0000	1.9692	True	1.7207	1.7250
pileaFrag	M1	2.0000	2.0277	True	1.7207	1.7250
pileaFrag	M1	5.0000	1.7990	True	1.7207	1.7250
pileaFrag	M22	0.5000	0.0000	True	0.4892	0.7233
pileaFrag	M22	10.0000	0.6648	True	0.4892	0.7233
pileaFrag	M22	1.0000	1.1048	True	0.4892	0.7233
pileaFrag	M22	2.0000	1.0168	True	0.4892	0.7233
pileaFrag	M22	5.0000	0.8346	True	0.4892	0.7233
pileaFrag	M23	0.5000	0.0000	True	0.4770	0.5420
pileaFrag	M23	10.0000	0.5617	True	0.4770	0.5420
pileaFrag	M23	1.0000	1.0019	True	0.4770	0.5420
pileaFrag	M23	2.0000	0.9249	True	0.4770	0.5420
