dataset	sample	genome	depth	coverage	dispersion	fraction	containment	log2(PTR)
simulation	sim_s8_c1_r2	Listeria_monocytogenes	1.0000	1.4603	0.3226	1.0000	0.5547	0.9029
simulation	sim_s8_c1_r2	Pseudomonas_aeruginosa	1.0000	1.4390	0.3117	1.0000	0.5481	0.9066
simulation	sim_s8_c1_r2	Salmonella_enterica_LT2	1.0000	1.4419	0.3008	0.9799	0.5222	1.1804
simulation	sim_s8_c1_r2	Shigella_dysenteriae	1.0000	1.4390	0.3047	0.9511	0.5152	1.1742
simulation	sim_s8_c1_r2	Staphylococcus_aureus	1.0000	1.4359	0.3171	1.0000	0.5134	2.2720
simulation	sim_s8_c2_r1	Bacillus_subtilis_168	2.0000	1.9149	0.4980	1.0000	0.7600	2.1162
simulation	sim_s8_c2_r1	Campylobacter_jejuni	2.0000	1.9746	0.5589	1.0000	0.7777	0.8586
simulation	sim_s8_c2_r1	Escherichia_coli_K12	2.0000	2.0000	0.4942	1.0000	0.2638	0.8633
simulation	sim_s8_c2_r1	Escherichia_coli_O157H7	2.0000	2.0000	0.5020	0.9778	0.2647	0.9844
simulation	sim_s8_c2_r1	Klebsiella_pneumoniae	2.0000	1.9261	0.5375	0.9224	0.7257	1.2058
simulation	sim_s8_c2_r1	Neisseria_meningitidis	2.0000	1.9610	0.5425	1.0000	0.7506	0.7627
simulation	sim_s8_c2_r1	Shigella_dysenteriae	2.0000	2.0000	0.4653	0.9511	0.1971	1.1959
simulation	sim_s8_c2_r1	Staphylococcus_aureus	2.0000	1.9841	0.5392	1.0000	0.7750	1.4551
simulation	sim_s8_c2_r2	Enterococcus_faecalis	2.0000	1.9178	0.5338	0.9485	0.7327	1.9101
simulation	sim_s8_c2_r2	Haemophilus_influenzae	2.0000	1.9520	0.5524	1.0000	0.7821	1.0608
simulation	sim_s8_c2_r2	Listeria_monocytogenes	2.0000	1.9828	0.5643	1.0000	0.7937	0.7208
simulation	sim_s8_c2_r2	Neisseria_meningitidis	2.0000	1.9643	0.5207	0.9889	0.7530	0.9431
simulation	sim_s8_c2_r2	Pseudomonas_aeruginosa	2.0000	1.9146	0.5055	1.0000	0.7514	2.1757
simulation	sim_s8_c2_r2	Shigella_dysenteriae	2.0000	1.9452	0.5289	0.9511	0.7478	1.3637
simulation	sim_s8_c2_r2	Staphylococcus_aureus	2.0000	2.0139	0.5630	1.0000	0.7886	0.5573
simulation	sim_s8_c2_r2	Vibrio_cholerae	2.0000	1.9726	0.5202	0.7346	0.5771	0.9555
simulation	sim_s8_c4_r1	Bacillus_subtilis_168	4.0000	3.3059	0.8506	1.0000	0.9553	0.2717
simulation	sim_s8_c4_r1	Campylobacter_jejuni	4.0000	3.1414	0.7428	1.0000	0.9205	1.8910
simulation	sim_s8_c4_r1	Haemophilus_influenzae	4.0000	3.2780	0.7830	1.0000	0.9437	0.9954
simulation	sim_s8_c4_r1	Helicobacter_pylori	4.0000	3.2022	0.8011	1.0000	0.9097	2.0443
simulation	sim_s8_c4_r1	Listeria_monocytogenes	4.0000	3.2191	0.7736	1.0000	0.9380	1.4850
simulation	sim_s8_c4_r1	Pseudomonas_aeruginosa	4.0000	3.2353	0.7748	1.0000	0.9322	1.6417
simulation	sim_s8_c4_r1	Salmonella_enterica_LT2	4.0000	3.3269	0.8308	0.9799	0.9317	0.3041
simulation	sim_s8_c4_r1	Vibrio_cholerae	4.0000	3.2967	0.8010	0.7346	0.6961	0.7684
simulation	sim_s8_c4_r2	Campylobacter_jejuni	4.0000	3.3085	0.8250	1.0000	0.9450	0.2792
simulation	sim_s8_c4_r2	Escherichia_coli_K12	4.0000	3.3452	0.8090	1.0000	0.3178	0.4897
simulation	sim_s8_c4_r2	Escherichia_coli_O157H7	4.0000	3.2000	0.7070	0.9778	0.3139	1.8270
simulation	sim_s8_c4_r2	Listeria_monocytogenes	4.0000	3.1038	0.7650	1.0000	0.9276	1.9566
simulation	sim_s8_c4_r2	Neisseria_meningitidis	4.0000	3.2635	0.7704	1.0000	0.8920	1.4929
simulation	sim_s8_c4_r2	Shigella_dysenteriae	4.0000	3.4211	0.7922	0.9511	0.2368	1.0719
simulation	sim_s8_c4_r2	Staphylococcus_aureus	4.0000	3.2347	0.7693	1.0000	0.9286	1.6260
simulation	sim_s8_c4_r2	Vibrio_cholerae	4.0000	3.2718	0.7804	0.7346	0.6933	0.7486
simulation	sim_s8_c8_r1	Campylobacter_jejuni	8.0000	6.5819	0.7677	1.0000	0.9863	0.3501
simulation	sim_s8_c8_r1	Enterococcus_faecalis	8.0000	6.5490	0.7674	0.9485	0.9509	0.5905
simulation	sim_s8_c8_r1	Escherichia_coli_K12	8.0000	6.6309	0.8129	1.0000	0.9815	0.1550
simulation	sim_s8_c8_r1	Klebsiella_pneumoniae	8.0000	6.2173	0.8193	0.9224	0.9204	1.7060
simulation	sim_s8_c8_r1	Neisseria_meningitidis	8.0000	6.5783	0.8021	1.0000	0.9493	0.1932
simulation	sim_s8_c8_r1	Pseudomonas_aeruginosa	8.0000	6.3232	0.8089	1.0000	0.9849	1.8673
simulation	sim_s8_c8_r1	Staphylococcus_aureus	8.0000	6.1625	0.8358	1.0000	0.9865	1.4510
simulation	sim_s8_c8_r1	Vibrio_cholerae	8.0000	6.5652	0.8848	0.7346	0.7282	0.8344
simulation	sim_s8_c8_r2	Campylobacter_jejuni	8.0000	6.6935	0.8392	1.0000	0.9876	0.9195
simulation	sim_s8_c8_r2	Escherichia_coli_O157H7	8.0000	6.5735	0.8348	0.9778	0.9470	0.9961
simulation	sim_s8_c8_r2	Helicobacter_pylori	8.0000	6.6702	0.8168	1.0000	0.9799	0.2704
simulation	sim_s8_c8_r2	Klebsiella_pneumoniae	8.0000	6.4195	0.8612	0.9224	0.9224	1.3727
simulation	sim_s8_c8_r2	Listeria_monocytogenes	8.0000	6.4939	0.8455	1.0000	0.9914	1.2128
simulation	sim_s8_c8_r2	Neisseria_meningitidis	8.0000	6.5000	0.7891	0.9889	0.9491	0.5261
simulation	sim_s8_c8_r2	Staphylococcus_aureus	8.0000	6.3232	0.7905	1.0000	0.9880	1.1968
simulation	sim_s8_c8_r2	Streptococcus_pneumoniae	8.0000	6.6029	0.8346	1.0000	0.9795	0.2125
