arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
C_relaxed	M23	10.0000	0.5490	7.5167	True	0.4770	0.5420
C_relaxed	M23	1.0000	1.2201	1.3853	True	0.4770	0.5420
C_relaxed	M23	2.0000	0.8106	1.8831	True	0.4770	0.5420
C_relaxed	M23	5.0000	0.7621	4.0144	True	0.4770	0.5420
C_relaxed	M24	0.5000	0.0000	1.0000	True	0.4648	0.6861
C_relaxed	M24	10.0000	0.5938	7.6020	True	0.4648	0.6861
C_relaxed	M24	1.0000	1.2779	1.4000	True	0.4648	0.6861
C_relaxed	M24	2.0000	1.0522	1.9224	True	0.4648	0.6861
C_relaxed	M24	5.0000	0.7715	4.0525	True	0.4648	0.6861
C_relaxed	M25	0.5000	0.0000	1.0000	True	0.4346	0.6425
C_relaxed	M25	10.0000	0.6150	7.4471	True	0.4346	0.6425
C_relaxed	M25	1.0000	1.4379	1.4348	True	0.4346	0.6425
C_relaxed	M25	2.0000	0.9518	1.9640	True	0.4346	0.6425
C_relaxed	M25	5.0000	0.7328	3.9773	True	0.4346	0.6425
C_relaxed	M27	0.5000	0.0000	1.0000	True	0.3992	0.5526
C_relaxed	M27	10.0000	0.5423	7.6674	True	0.3992	0.5526
C_relaxed	M27	1.0000	1.0131	1.3984	True	0.3992	0.5526
C_relaxed	M27	2.0000	0.6476	1.8931	True	0.3992	0.5526
C_relaxed	M27	5.0000	0.7553	4.0648	True	0.3992	0.5526
C_relaxed	M2	0.5000	0.0000	1.0000	True	1.5100	1.6844
C_relaxed	M2	10.0000	1.5188	6.2992	True	1.5100	1.6844
C_relaxed	M2	1.0000	1.8340	1.4625	True	1.5100	1.6844
C_relaxed	M2	2.0000	1.8439	1.9772	True	1.5100	1.6844
C_relaxed	M2	5.0000	1.6765	3.6376	True	1.5100	1.6844
C_relaxed	M3	0.5000	0.0000	1.0000	True	1.4380	1.4630
C_relaxed	M3	10.0000	1.3337	7.1331	True	1.4380	1.4630
C_relaxed	M3	1.0000	1.9464	1.3652	True	1.4380	1.4630
C_relaxed	M3	2.0000	1.3231	1.8517	True	1.4380	1.4630
C_relaxed	M3	5.0000	1.5932	3.5259	True	1.4380	1.4630
C_relaxed	M4	0.5000	0.0000	1.0000	True	1.3718	1.5315
C_relaxed	M4	10.0000	1.4409	6.6517	True	1.3718	1.5315
C_relaxed	M4	1.0000	1.6610	1.4468	True	1.3718	1.5315
C_relaxed	M4	2.0000	1.5354	1.9318	True	1.3718	1.5315
C_relaxed	M4	5.0000	1.5313	3.5790	True	1.3718	1.5315
