cond	medium	cov	log2ptr	spread_se	Q	n_enzymes
spread_scafSelf	M13	1.0000	0.0000	0.0001	3451.9678	16
spread_scafSelf	M13	2.0000	1.2964	0.0203	4448.4116	16
spread_scafSelf	M13	5.0000	1.3979	0.0193	210.2614	16
spread_scafSelf	M17	0.5000	0.0000	0.0001	134.8087	16
spread_scafSelf	M17	10.0000	1.0298	0.0143	220.1921	16
spread_scafSelf	M17	1.0000	0.0000	0.0001	12089.7121	16
spread_scafSelf	M17	2.0000	1.0400	0.0182	3726.0245	16
spread_scafSelf	M17	5.0000	0.8849	0.0150	144.0824	16
spread_scafSelf	M18	0.5000	0.0000	0.0001	2762.5737	16
spread_scafSelf	M18	10.0000	0.8637	0.0104	33.6366	16
spread_scafSelf	M18	1.0000	0.0000	0.0001	2983.0163	16
spread_scafSelf	M18	2.0000	1.1146	0.0176	5231.8086	16
spread_scafSelf	M18	5.0000	0.8849	0.0116	109.5329	16
spread_scafSelf	M19	0.5000	0.0000	0.0001	7149.2310	16
spread_scafSelf	M19	10.0000	1.2354	0.0177	72.0727	16
spread_scafSelf	M19	1.0000	7.4331	0.0465	8349.2964	16
spread_scafSelf	M19	2.0000	2.4734	0.0276	4892.2649	16
spread_scafSelf	M19	5.0000	0.0001	0.0001	3760.7588	16
spread_scafSelf	M1	0.5000	0.0000	0.0001	555.1584	15
spread_scafSelf	M1	10.0000	1.8279	0.0137	29.8241	16
spread_scafSelf	M1	1.0000	2.4119	0.0301	6161.0694	16
spread_scafSelf	M1	2.0000	1.9216	0.0212	1524.1188	16
spread_scafSelf	M1	5.0000	1.8161	0.0160	29.5648	16
spread_scafSelf	M22	0.5000	0.0000	0.0001	258.9597	16
spread_scafSelf	M22	10.0000	0.8565	0.0117	156.1774	16
spread_scafSelf	M22	1.0000	0.0000	0.0002	2618.5609	16
spread_scafSelf	M22	2.0000	0.8459	0.0170	2292.4523	16
spread_scafSelf	M22	5.0000	0.7380	0.0125	107.1244	16
spread_scafSelf	M23	0.5000	0.6609	0.0477	57.3755	16
spread_scafSelf	M23	10.0000	0.5934	0.0086	31.5675	16
spread_scafSelf	M23	1.0000	0.0000	0.0001	1798.0764	16
spread_scafSelf	M23	2.0000	0.7250	0.0170	109.6951	16
spread_scafSelf	M23	5.0000	0.6274	0.0114	44.0408	16
spread_scafSelf	M24	0.5000	0.5221	0.0534	108.9755	16
spread_scafSelf	M24	10.0000	0.6650	0.0087	34.1328	16
spread_scafSelf	M24	1.0000	0.0000	0.0001	2341.3915	16
spread_scafSelf	M24	2.0000	0.7237	0.0164	73.3235	16
spread_scafSelf	M24	5.0000	0.7104	0.0111	22.5447	16
spread_scafSelf	M25	0.5000	0.0000	0.0001	1283.1012	16
spread_scafSelf	M25	10.0000	0.7148	0.0108	113.4389	16
spread_scafSelf	M25	1.0000	0.0000	0.0001	3195.7297	16
spread_scafSelf	M25	2.0000	0.7046	0.0160	1480.1427	16
spread_scafSelf	M25	5.0000	0.6434	0.0114	50.1950	16
spread_scafSelf	M27	0.5000	0.0000	0.0001	1319.4557	16
spread_scafSelf	M27	10.0000	0.6007	0.0104	67.7768	16
spread_scafSelf	M27	1.0000	0.0000	0.0001	2820.0280	16
spread_scafSelf	M27	2.0000	0.6496	0.0158	3293.2935	16
spread_scafSelf	M27	5.0000	0.5323	0.0105	70.9018	16
spread_scafSelf	M2	0.5000	0.0000	0.0001	1685.9324	16
spread_scafSelf	M2	10.0000	2.4311	0.0180	385.1358	16
spread_scafSelf	M2	1.0000	2.3542	0.0300	5595.4476	16
spread_scafSelf	M2	2.0000	1.7844	0.0219	2422.6250	16
spread_scafSelf	M2	5.0000	1.9803	0.0192	347.8590	16
spread_scafSelf	M3	0.5000	0.0000	0.0001	384.1314	16
spread_scafSelf	M3	10.0000	1.5157	0.0111	45.0948	16
spread_scafSelf	M3	1.0000	0.0000	0.0001	1699.4285	16
spread_scafSelf	M3	2.0000	1.5498	0.0197	156.5196	16
spread_scafSelf	M3	5.0000	1.5586	0.0143	78.1754	16
spread_scafSelf	M4	0.5000	0.0000	0.0001	189.2901	16
spread_scafSelf	M4	10.0000	1.9447	0.0171	279.4251	16
spread_scafSelf	M4	1.0000	0.0000	0.0001	14194.8336	16
spread_scafSelf	M4	2.0000	1.6779	0.0213	2622.2074	16
spread_scafSelf	M4	5.0000	1.7550	0.0196	151.4882	16
spread_scafSelf	M6	0.5000	0.0000	0.0001	441.9887	16
spread_scafSelf	M6	10.0000	1.2888	0.0111	19.4699	16
spread_scafSelf	M6	1.0000	0.0000	0.0002	6809.8493	16
spread_scafSelf	M6	2.0000	1.7098	0.0204	6274.7391	16
spread_scafSelf	M6	5.0000	1.3160	0.0136	28.0548	16
spread_scafSelf	RUN_OUT	0.5000	0.0000	0.0001	1794.4173	16
spread_scafSelf	RUN_OUT	10.0000	0.4549	0.0096	547.4559	16
spread_scafSelf	RUN_OUT	1.0000	0.0000	0.0001	5487.0961	16
spread_scafSelf	RUN_OUT	2.0000	0.2767	0.0148	163.7952	16
spread_scafSelf	RUN_OUT	5.0000	0.2927	0.0101	237.9726	16
