k	medium	depth	seconds	rss_mb	log2ptr	i2	growth_rate	pred
4	M1	0.5	2.74	170.953	1.39997	0.35262	1.7207	1.725
4	M1	10	6.16	174.984	1.79541	0.329327	1.7207	1.725
4	M1	1	3.92	173.281	1.66023	0.408595	1.7207	1.725
4	M1	2	4.46	177.203	1.55754	0	1.7207	1.725
4	M1	5	5.16	169.953	1.79122	0.253172	1.7207	1.725
4	M22	0.5	2.84	167.812	0.519506	0	0.4892	0.7233
4	M22	10	5.74	164.047	0.753193	0	0.4892	0.7233
4	M22	1	4.25	170.953	0.546413	0	0.4892	0.7233
4	M22	2	4.86	177.328	0.694931	0	0.4892	0.7233
4	M22	5	5.38	175.266	0.703827	0.12137	0.4892	0.7233
4	M23	0.5	2.8	165.703	0.529586	0	0.477	0.542
4	M23	10	5.68	174.047	0.568542	0.432992	0.477	0.542
4	M23	1	4.13	172.578	0.462149	0	0.477	0.542
4	M23	2	4.56	163.891	0.601823	0	0.477	0.542
4	M23	5	4.95	169.312	0.602283	0	0.477	0.542
4	M24	0.5	2.88	180.297	0.341054	0	0.4648	0.6861
4	M24	10	5.84	165.516	0.676744	0.519242	0.4648	0.6861
4	M24	1	4.16	165.766	0.670146	0.145815	0.4648	0.6861
4	M24	2	4.67	178.469	0.656744	0.37742	0.4648	0.6861
4	M24	5	4.93	173.875	0.688271	0	0.4648	0.6861
4	M25	0.5	2.78	179.766	0.603119	0	0.4346	0.6425
4	M25	10	5.92	180.312	0.656665	0	0.4346	0.6425
4	M25	1	4.11	175.5	0.622364	0.121046	0.4346	0.6425
4	M25	2	4.73	179.969	0.627746	0	0.4346	0.6425
4	M25	5	5.35	171.781	0.625467	0	0.4346	0.6425
4	M27	0.5	2.72	165.734	0.348997	0	0.3992	0.5526
4	M27	10	5.73	161.766	0.550287	0	0.3992	0.5526
4	M27	1	4.17	175.922	0.391838	0	0.3992	0.5526
4	M27	2	4.73	173.562	0.458328	0.686667	0.3992	0.5526
4	M27	5	4.98	171.844	0.505078	0.192544	0.3992	0.5526
4	M2	0.5	2.67	163	1.33884	0	1.51	1.6844
4	M2	10	4.76	165.453	1.95374	0	1.51	1.6844
4	M2	1	3.76	165.375	1.43226	0.127491	1.51	1.6844
4	M2	2	4.65	174.516	1.64143	0	1.51	1.6844
4	M2	5	4.66	165.344	1.72039	0.596139	1.51	1.6844
4	M3	0.5	2.5	165.516	1.20228	0	1.438	1.463
4	M3	10	5.5	175.109	1.5087	0.843172	1.438	1.463
4	M3	1	3.95	182.188	1.33947	0	1.438	1.463
4	M3	2	4.51	169.453	1.44236	0	1.438	1.463
4	M3	5	4.64	175.406	1.54274	0.847415	1.438	1.463
4	M4	0.5	2.76	172.703	1.13318	0	1.3718	1.5315
4	M4	10	5.08	180.844	1.60882	0	1.3718	1.5315
4	M4	1	4.11	181.547	1.41378	0	1.3718	1.5315
4	M4	2	4.8	175.891	1.36235	0.458475	1.3718	1.5315
4	M4	5	5.04	174.188	1.55946	0	1.3718	1.5315
4	M6	0.5	2.87	182.688	1.20641	0.312167	1.3549	1.3298
4	M6	10	5.67	175.062	1.28758	0.557403	1.3549	1.3298
4	M6	1	4.1	183.625	1.19828	0	1.3549	1.3298
4	M6	2	4.44	175.641	1.29872	0	1.3549	1.3298
4	M6	5	4.58	177.562	1.35206	0	1.3549	1.3298
4	RUN_OUT	0.5	2.67	163.266	0.0913489	0		
4	RUN_OUT	10	5.36	167.531	0.0418027	0		
4	RUN_OUT	1	4.07	169.453	0.040576	0		
4	RUN_OUT	2	4.66	170.109	0.0894977	0		
4	RUN_OUT	5	4.96	173.109	0.0608335	0		
8	M10	0.5	3.69	181.016	0.875714	0	1.15	1.2108
8	M10	10	8.85	191.078	1.23553	0.356878	1.15	1.2108
8	M10	1	6.05	176.344	1.11584	0	1.15	1.2108
8	M10	2	6.82	182.5	1.15555	0	1.15	1.2108
8	M10	5	7.84	207.125	1.20732	0.0819237	1.15	1.2108
8	M12	0.5	4.23	205.078	1.14168	0	1.022	1.1568
8	M12	10	8.44	190.75	1.30145	0.413778	1.022	1.1568
8	M12	1	6.17	203.156	0.996338	0.502774	1.022	1.1568
8	M12	2	6.88	181.625	1.15557	0.200332	1.022	1.1568
8	M12	5	7.76	193.484	1.19542	0.232362	1.022	1.1568
8	M13	0.5	3.94	192.75	0.894516	0.669777	0.8612	1.0326
8	M13	10	7.45	198.281	1.02232	0	0.8612	1.0326
