instance	medium	srr	cov	arm	log2ptr	est_cov	growth_rate
20260912	M23	SRR11558964	2	C_relaxed	0.7694	1.9111	0.4770
20260912	M19	SRR11558965	2	A	0.7429221633	1.674675058	0.5776
20260912	M19	SRR11558965	2	B	1.224275128	1.674675058	0.5776
20260912	M19	SRR11558965	2	E	0.7853184399	1.563537053	0.5776
20260912	M19	SRR11558965	2	C_default			0.5776
20260912	M19	SRR11558965	2	C_relaxed	1.5270	1.9420	0.5776
20260912	M18	SRR11558969	2	A	0.6447708738	1.712062254	0.7413
20260912	M18	SRR11558969	2	B	0.8175114027	1.712062254	0.7413
20260912	M18	SRR11558969	2	E	0.7304415702	1.614724427	0.7413
20260912	M18	SRR11558969	2	C_default			0.7413
20260912	M18	SRR11558969	2	C_relaxed	1.1143	1.9351	0.7413
20260912	M17	SRR11558970	2	A	0.5572589904	1.837561025	0.7440
20260912	M17	SRR11558970	2	B	0.8658848997	1.837561025	0.7440
20260912	M17	SRR11558970	2	E	0.6514318053	1.691033427	0.7440
20260912	M17	SRR11558970	2	C_default			0.7440
20260912	M17	SRR11558970	2	C_relaxed	0.9834	1.9495	0.7440
20260912	M13	SRR11558973	2	A	0.9081723942	1.711286951	0.8612
20260912	M13	SRR11558973	2	B	1.01779105	1.711286951	0.8612
20260912	M13	SRR11558973	2	E	0.9112471247	1.585458709	0.8612
20260912	M13	SRR11558973	2	C_default			0.8612
20260912	M13	SRR11558973	2	C_relaxed	1.2229	1.8520	0.8612
20260912	M12	SRR11558976	2	A	1.068359909	1.819790618	1.0220
20260912	M12	SRR11558976	2	B	1.204066021	1.819790618	1.0220
20260912	M12	SRR11558976	2	E	0.8828980395	1.66066353	1.0220
20260912	M12	SRR11558976	2	C_default			1.0220
20260912	M12	SRR11558976	2	C_relaxed	1.1927	1.9113	1.0220
20260912	M1	SRR11558977	2	A	1.614634332	1.68270764	1.7207
20260912	M1	SRR11558977	2	B	1.721137619	1.68270764	1.7207
20260912	M1	SRR11558977	2	E	1.645157108	1.538364439	1.7207
20260912	M1	SRR11558977	2	C_default			1.7207
20260912	M1	SRR11558977	2	C_relaxed	1.9840	1.8495	1.7207
20260912	M10	SRR11558980	2	A	1.119511749	1.694172592	1.1500
20260912	M10	SRR11558980	2	B	1.268960246	1.694172592	1.1500
20260912	M10	SRR11558980	2	E	1.045296569	1.577524228	1.1500
20260912	M10	SRR11558980	2	C_default			1.1500
20260912	M10	SRR11558980	2	C_relaxed	1.1793	1.8409	1.1500
20260912	M4	SRR11558983	2	A	1.171773923	1.868737994	1.3718
20260912	M4	SRR11558983	2	B	1.324046997	1.868737994	1.3718
20260912	M4	SRR11558983	2	E	1.261782341	1.699146373	1.3718
20260912	M4	SRR11558983	2	C_default			1.3718
20260912	M4	SRR11558983	2	C_relaxed	1.7306	1.9603	1.3718
20260912	M6	SRR11558945	5	A	1.361126889	4.079794078	1.3549
20260912	M6	SRR11558945	5	B	1.357399622	4.079794078	1.3549
20260912	M6	SRR11558945	5	E	1.478001018	3.738853837	1.3549
20260912	M6	SRR11558945	5	C_default			1.3549
20260912	M6	SRR11558945	5	C_relaxed	1.4711	3.5704	1.3549
20260912	M3	SRR11558946	5	A	1.510550649	4.024091308	1.4380
20260912	M3	SRR11558946	5	B	1.514609537	4.024091308	1.4380
20260912	M3	SRR11558946	5	E	1.482027246	3.716680707	1.4380
20260912	M3	SRR11558946	5	C_default			1.4380
20260912	M3	SRR11558946	5	C_relaxed	1.5419	3.5111	1.4380
20260912	M2	SRR11558949	5	A	1.633506397	4.347147423	1.5100
20260912	M2	SRR11558949	5	B	1.63922691	4.347147423	1.5100
20260912	M2	SRR11558949	5	E	1.566155192	3.990166901	1.5100
20260912	M2	SRR11558949	5	C_default			1.5100
20260912	M2	SRR11558949	5	C_relaxed	1.6478	3.5632	1.5100
20260912	RUN_OUT	SRR11558950	5	A	0.04286764648	4.346107013	
20260912	RUN_OUT	SRR11558950	5	B	0.4186310941	4.345533309	
20260912	RUN_OUT	SRR11558950	5	E	0.01958065904	4.016931579	
20260912	RUN_OUT	SRR11558950	5	C_default			
20260912	RUN_OUT	SRR11558950	5	C_relaxed	0.2632	4.0987	
20260912	M27	SRR11558953	5	A	0.5006722244	4.096039089	0.3992
20260912	M27	SRR11558953	5	B	0.5687105127	4.096039089	0.3992
20260912	M27	SRR11558953	5	E	0.4976320633	3.851750624	0.3992
20260912	M27	SRR11558953	5	C_default			0.3992
20260912	M27	SRR11558953	5	C_relaxed	0.6837	3.9895	0.3992
20260912	M25	SRR11558957	5	A	0.6002761193	4.147699886	0.4346
20260912	M25	SRR11558957	5	B	0.6574527041	4.147699886	0.4346
20260912	M25	SRR11558957	5	E	0.6546323309	3.889503605	0.4346
20260912	M25	SRR11558957	5	C_default			0.4346
20260912	M25	SRR11558957	5	C_relaxed	0.7783	3.8479	0.4346
20260912	M24	SRR11558960	5	A	0.6779153754	4.084993619	0.4648
20260912	M24	SRR11558960	5	B	0.7499705814	4.084993619	0.4648
20260912	M24	SRR11558960	5	E	0.6775645855	3.885518363	0.4648
20260912	M24	SRR11558960	5	C_default			0.4648
20260912	M24	SRR11558960	5	C_relaxed	0.8401	3.9082	0.4648
20260912	M22	SRR11558963	5	A	0.7284771049	4.149692166	0.4892
20260912	M22	SRR11558963	5	B	0.7917776102	4.149692166	0.4892
20260912	M22	SRR11558963	5	E	0.7142924802	3.822140466	0.4892
20260912	M22	SRR11558963	5	C_default			0.4892
20260912	M22	SRR11558963	5	C_relaxed	0.8206	3.7219	0.4892
