species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Pauljensenia_odontolytica_A	19	19	1.189903037	0.8726298849	1.5076617285	2.281374097	12.35824488	0.05249679898	22.0	1364.0	0.9943930683	1.4947338865000002	1.108991244	-0.3857426425000001	0.04545529484905847	0.3445614035087719	0.0001951222966599	0.0033432238433996004
Olsenella_profusa	7	7	1.181132809	0.8799126479999999	1.50745444	2.267547557	5.300818717	0.1373177843	38.0	2481.0	0.9571602754		1.181132809				0.0	8.67282844305876e-05
Bosea_sp900112185	11	11	1.174528063	0.792927507	1.371573756	2.257190313	19.62497549	0.001898481215	10.0	1116.0	0.9602465468	0.9658627654	1.317340663	0.3514778975999999			0.0	6.149151386980161e-05
Enterobacter_hormaechei_A	5	5	1.165409885	0.6791844732	1.776730343	2.242969317	16.71726785	0.01408010013	14.0	1148.0	0.988278922	1.776730343	0.5095284189	-1.2672019241			0.0	0.0024586632886706
Rothia_aeria	26	26	1.1609229110000001	0.80687030675	1.4870006494999999	2.2433890620000003	13.65323209	0.034827586205	19.5	1049.0	0.99296483005	1.2807445845	0.9891315938	-0.2916129907	0.3960658207089378	1.0	0.0003789140671136	0.0020850069481071
Pauljensenia_sp000758755	9	9	1.155228629	0.7294067684	1.953384413	2.227196159	4.916307222	0.01842948718	14.0	669.0	0.9659066387	0.8364425535	1.321660493	0.48521793950000003			0.0	0.0001464271927294
Streptococcus_sp001556435	5	5	1.149856837	0.7475933118	1.166251141	2.218918743	10.06778923	0.1254752852	9.0	225.0	0.9821344315	0.6470332925	1.158053989	0.5110206964999999			0.0	0.0051924207925477
Actinomyces_oris_C	14	14	1.1446366235	0.883100778475	1.4569477797500001	2.2118378665	6.010485788	0.03817016317	21.0	1046.0	0.9915254013	0.53447496215	1.3023311835	0.76785622135	0.001998001998001998	0.06793206793206794	0.0	0.00027392909099600003
Parascardovia_denticolens	7	7	1.130982644	1.0386724925	1.4453587355	2.190078594	4.814802299	0.07845084409	23.0	923.0	0.9887261999	1.130982644	1.2269391079999998	0.09595646399999991			0.0	0.0024458850991071
Prevotella_nanceiensis	9	9	1.111714612	0.8320210525	1.317424032	2.161023276	3.509683246	0.04947668887	16.0	637.0	0.9777557429	1.07472254225	1.111714612	0.036992069750000134			0.0	9.1762579521805e-05
