genome	std_log2ptr	n	mag	mean_cov	qc_rate_current	qc_any	cov_q
GCA_041398865.1_ASM4139886v1_genomic	0.7231416103782572	9	GCA_041398865.1_ASM4139886v1_genomic	1.9836523196666667	0.0	False	Q1
GCA_041398885.1_ASM4139888v1_genomic	0.7466825454397585	9	GCA_041398885.1_ASM4139888v1_genomic	2.084403183777778	0.0	False	Q1
GCA_041398905.1_ASM4139890v1_genomic	0.36060145271864297	9	GCA_041398905.1_ASM4139890v1_genomic	2.244575559222222	0.0	False	Q2
GCA_041398925.1_ASM4139892v1_genomic	0.2999741008032912	9	GCA_041398925.1_ASM4139892v1_genomic	1.9391642773333335	0.0	False	Q1
GCA_041398945.1_ASM4139894v1_genomic	0.10074997532171612	9	GCA_041398945.1_ASM4139894v1_genomic	2.0800473323333333	0.0	False	Q1
GCA_041398965.1_ASM4139896v1_genomic	0.40382260647368606	9	GCA_041398965.1_ASM4139896v1_genomic	2.4311107183333336	0.2222222222222222	True	Q2
GCA_041398985.1_ASM4139898v1_genomic	0.7313575824835241	9	GCA_041398985.1_ASM4139898v1_genomic	2.0868899955555555	0.0	False	Q1
GCA_041399005.1_ASM4139900v1_genomic	0.21877776350743902	9	GCA_041399005.1_ASM4139900v1_genomic	2.1013408666666664	0.0	False	Q1
GCA_041399025.1_ASM4139902v1_genomic	0.19549873233906348	9	GCA_041399025.1_ASM4139902v1_genomic	1.9198938201111109	0.0	False	Q1
GCA_041399045.1_ASM4139904v1_genomic	0.4664273756259584	9	GCA_041399045.1_ASM4139904v1_genomic	1.9390052247777778	0.0	False	Q1
GCA_041399065.1_ASM4139906v1_genomic	0.7348067948832844	9	GCA_041399065.1_ASM4139906v1_genomic	2.3296160405555555	0.0	False	Q2
GCA_041399085.1_ASM4139908v1_genomic	0.2531715083181155	9	GCA_041399085.1_ASM4139908v1_genomic	2.0795660486666665	0.0	False	Q1
GCA_041399105.1_ASM4139910v1_genomic	0.1907850726986018	9	GCA_041399105.1_ASM4139910v1_genomic	1.9967504115555554	0.0	False	Q1
GCA_041399125.1_ASM4139912v1_genomic	0.28306455455288276	9	GCA_041399125.1_ASM4139912v1_genomic	2.0955271866666667	0.0	False	Q1
