genome	gc	mode	ptr	rep	depth	log2ptr	note	out
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	2	2.0000	0.6853	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.0000	2	5.0000	1.0061	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.0__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	1	0.5000	1.0249	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	1	1.0000	1.0570	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	1	2.0000	1.3774	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	1	5.0000	1.6195	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	2	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r2__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	2	1.0000	1.4776	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r2__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	2	2.0000	1.6767	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r2__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	1.5000	2	5.0000	1.5143	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr1.5__r2__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	1	0.5000		nan	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r1__0.5x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	1	1.0000	1.3555	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r1__1.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	1	2.0000	1.8431	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r1__2.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	1	5.0000	1.8750	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r1__5.0x
g00_Buchnera_aphidicola_Y	26.0900	A_k2	2.0000	2	0.5000	1.0889	ok	/lustre1/g/aos_shihuang/sk2bgrow-hpc/bench/F2/out/g00_Buchnera_aphidicola_Y/A_k2__g00_Buchnera_aphidicola_Y__ptr2.0__r2__0.5x
