genome	gc	mode	depth	n	failed	r	rmse	slope
g06_Bacillus_subtilis	43.5	E_s120	5.0	8	0	1.0	0.018	0.983
g06_Bacillus_subtilis	43.5	E_s153	5.0	8	0	1.0	0.02	0.99
g07_Bacillus_atrophaeus	43.5	A_k16	0.5	8	0	0.953	0.433	0.773
g07_Bacillus_atrophaeus	43.5	A_k2	0.5	8	0	0.901	0.349	0.813
g07_Bacillus_atrophaeus	43.5	A_k4	0.5	8	0	0.911	0.359	0.836
g07_Bacillus_atrophaeus	43.5	A_k8	0.5	8	0	0.918	0.443	0.752
g07_Bacillus_atrophaeus	43.5	E_s121	0.5	8	0	0.947	0.419	0.863
g07_Bacillus_atrophaeus	43.5	E_s156	0.5	8	0	0.919	0.416	0.84
g07_Bacillus_atrophaeus	43.5	A_k16	1.0	8	0	0.991	0.172	0.994
g07_Bacillus_atrophaeus	43.5	A_k2	1.0	8	0	0.98	0.2	1.028
g07_Bacillus_atrophaeus	43.5	A_k4	1.0	8	0	0.987	0.155	1.003
g07_Bacillus_atrophaeus	43.5	A_k8	1.0	8	0	0.994	0.146	1.055
g07_Bacillus_atrophaeus	43.5	E_s121	1.0	8	0	0.994	0.137	1.034
g07_Bacillus_atrophaeus	43.5	E_s156	1.0	8	0	0.992	0.129	1.047
g07_Bacillus_atrophaeus	43.5	A_k16	2.0	8	0	0.996	0.074	1.033
g07_Bacillus_atrophaeus	43.5	A_k2	2.0	8	0	0.995	0.08	1.023
g07_Bacillus_atrophaeus	43.5	A_k4	2.0	8	0	0.98	0.163	1.08
g07_Bacillus_atrophaeus	43.5	A_k8	2.0	8	0	0.992	0.092	1.032
g07_Bacillus_atrophaeus	43.5	E_s121	2.0	8	0	0.996	0.066	1.02
g07_Bacillus_atrophaeus	43.5	E_s156	2.0	8	0	0.995	0.072	1.037
g07_Bacillus_atrophaeus	43.5	A_k16	5.0	8	0	0.999	0.03	0.963
g07_Bacillus_atrophaeus	43.5	A_k2	5.0	8	0	0.999	0.028	0.98
g07_Bacillus_atrophaeus	43.5	A_k4	5.0	8	0	0.999	0.026	0.972
g07_Bacillus_atrophaeus	43.5	A_k8	5.0	8	0	0.999	0.029	0.963
g07_Bacillus_atrophaeus	43.5	E_s121	5.0	8	0	0.999	0.019	0.997
