arm	medium	cov	log2ptr	growth_rate	pred
E_s123	RUN_OUT	0.5000	0.0843		
E_s123	RUN_OUT	10.0000	0.0332		
E_s123	RUN_OUT	1.0000	0.0354		
E_s123	RUN_OUT	2.0000	0.0745		
E_s123	RUN_OUT	5.0000	0.0283		
E_s184	M10	0.5000		1.1500	1.2108
E_s184	M10	10.0000	1.1831	1.1500	1.2108
E_s184	M10	1.0000	0.7090	1.1500	1.2108
E_s184	M10	2.0000	1.0238	1.1500	1.2108
E_s184	M10	5.0000	1.1815	1.1500	1.2108
E_s184	M12	0.5000	0.0781	1.0220	1.1568
E_s184	M12	10.0000	1.1881	1.0220	1.1568
E_s184	M12	1.0000	0.8447	1.0220	1.1568
E_s184	M12	2.0000	1.0894	1.0220	1.1568
E_s184	M12	5.0000	1.1192	1.0220	1.1568
E_s184	M13	0.5000	0.4015	0.8612	1.0326
E_s184	M13	10.0000	1.0221	0.8612	1.0326
E_s184	M13	1.0000	0.7185	0.8612	1.0326
E_s184	M13	2.0000	0.8730	0.8612	1.0326
E_s184	M13	5.0000	1.0155	0.8612	1.0326
E_s184	M17	0.5000	0.4875	0.7440	0.7020
E_s184	M17	10.0000	0.7301	0.7440	0.7020
E_s184	M17	1.0000	0.7814	0.7440	0.7020
E_s184	M17	2.0000	0.5637	0.7440	0.7020
E_s184	M17	5.0000	0.5974	0.7440	0.7020
E_s184	M18	0.5000	0.3152	0.7413	0.8578
E_s184	M18	10.0000	0.8188	0.7413	0.8578
E_s184	M18	1.0000	0.9255	0.7413	0.8578
E_s184	M18	2.0000	0.8551	0.7413	0.8578
E_s184	M18	5.0000	0.8574	0.7413	0.8578
E_s184	M19	0.5000	0.0014	0.5776	0.8862
E_s184	M19	10.0000	0.8969	0.5776	0.8862
E_s184	M19	1.0000	0.4456	0.5776	0.8862
E_s184	M19	2.0000	0.2265	0.5776	0.8862
E_s184	M19	5.0000	0.8661	0.5776	0.8862
E_s184	M1	0.5000		1.7207	1.7250
E_s184	M1	10.0000	1.7483	1.7207	1.7250
E_s184	M1	1.0000	1.3938	1.7207	1.7250
E_s184	M1	2.0000	1.6105	1.7207	1.7250
E_s184	M1	5.0000	1.7079	1.7207	1.7250
E_s184	M22	0.5000		0.4892	0.7233
E_s184	M22	10.0000	0.7232	0.4892	0.7233
E_s184	M22	1.0000	0.6004	0.4892	0.7233
E_s184	M22	2.0000	0.7450	0.4892	0.7233
E_s184	M22	5.0000	0.6899	0.4892	0.7233
E_s184	M23	0.5000		0.4770	0.5420
E_s184	M23	10.0000	0.5757	0.4770	0.5420
E_s184	M23	1.0000	0.3284	0.4770	0.5420
E_s184	M23	2.0000	0.4992	0.4770	0.5420
E_s184	M23	5.0000	0.5396	0.4770	0.5420
E_s184	M24	0.5000	0.1762	0.4648	0.6861
E_s184	M24	10.0000	0.6506	0.4648	0.6861
E_s184	M24	1.0000	0.4811	0.4648	0.6861
E_s184	M24	2.0000	0.5415	0.4648	0.6861
E_s184	M24	5.0000	0.5907	0.4648	0.6861
E_s184	M25	0.5000		0.4346	0.6425
E_s184	M25	10.0000	0.6708	0.4346	0.6425
E_s184	M25	1.0000	0.7203	0.4346	0.6425
E_s184	M25	2.0000	0.6754	0.4346	0.6425
E_s184	M25	5.0000	0.5643	0.4346	0.6425
E_s184	M27	0.5000		0.3992	0.5526
E_s184	M27	10.0000	0.5247	0.3992	0.5526
E_s184	M27	1.0000	0.4766	0.3992	0.5526
E_s184	M27	2.0000		0.3992	0.5526
E_s184	M27	5.0000	0.6225	0.3992	0.5526
E_s184	M2	0.5000	0.7620	1.5100	1.6844
E_s184	M2	10.0000	1.7812	1.5100	1.6844
E_s184	M2	1.0000	1.2781	1.5100	1.6844
E_s184	M2	2.0000	1.6720	1.5100	1.6844
E_s184	M2	5.0000	1.5824	1.5100	1.6844
E_s184	M3	0.5000	0.7623	1.4380	1.4630
E_s184	M3	10.0000	1.4977	1.4380	1.4630
E_s184	M3	1.0000	1.0053	1.4380	1.4630
E_s184	M3	2.0000	1.5062	1.4380	1.4630
E_s184	M3	5.0000	1.4998	1.4380	1.4630
E_s184	M4	0.5000	0.9122	1.3718	1.5315
E_s184	M4	10.0000	1.5517	1.3718	1.5315
E_s184	M4	1.0000	0.9576	1.3718	1.5315
E_s184	M4	2.0000	1.3428	1.3718	1.5315
E_s184	M4	5.0000	1.4284	1.3718	1.5315
E_s184	M6	0.5000	0.8074	1.3549	1.3298
E_s184	M6	10.0000	1.4408	1.3549	1.3298
E_s184	M6	1.0000	1.1396	1.3549	1.3298
E_s184	M6	2.0000	1.1536	1.3549	1.3298
E_s184	M6	5.0000	1.4093	1.3549	1.3298
E_s184	RUN_OUT	0.5000	0.0388		
E_s184	RUN_OUT	10.0000	0.0214		
E_s184	RUN_OUT	1.0000			
E_s184	RUN_OUT	2.0000	0.0799		
E_s184	RUN_OUT	5.0000	0.0510		
E_s268	M10	0.5000	0.0500	1.1500	1.2108
E_s268	M10	10.0000	1.2051	1.1500	1.2108
E_s268	M10	1.0000	0.8324	1.1500	1.2108
E_s268	M10	2.0000	1.0902	1.1500	1.2108
E_s268	M10	5.0000	1.1861	1.1500	1.2108
E_s268	M12	0.5000		1.0220	1.1568
E_s268	M12	10.0000	1.1045	1.0220	1.1568
E_s268	M12	1.0000	1.0699	1.0220	1.1568
E_s268	M12	2.0000	0.8830	1.0220	1.1568
E_s268	M12	5.0000	1.1840	1.0220	1.1568
E_s268	M13	0.5000	0.7324	0.8612	1.0326
E_s268	M13	10.0000	1.0380	0.8612	1.0326
E_s268	M13	1.0000	0.7334	0.8612	1.0326
E_s268	M13	2.0000	0.9084	0.8612	1.0326
E_s268	M13	5.0000	0.9923	0.8612	1.0326
E_s268	M17	0.5000		0.7440	0.7020
E_s268	M17	10.0000	0.7268	0.7440	0.7020
E_s268	M17	1.0000	0.7166	0.7440	0.7020
E_s268	M17	2.0000	0.6207	0.7440	0.7020
E_s268	M17	5.0000	0.7037	0.7440	0.7020
E_s268	M18	0.5000	0.2164	0.7413	0.8578
E_s268	M18	10.0000	0.7987	0.7413	0.8578
E_s268	M18	1.0000	0.9249	0.7413	0.8578
E_s268	M18	2.0000	0.8062	0.7413	0.8578
E_s268	M18	5.0000	0.8831	0.7413	0.8578
E_s268	M19	0.5000	0.1679	0.5776	0.8862
E_s268	M19	10.0000	0.9090	0.5776	0.8862
E_s268	M19	1.0000	0.5559	0.5776	0.8862
E_s268	M19	2.0000	0.3257	0.5776	0.8862
E_s268	M19	5.0000	0.7995	0.5776	0.8862
E_s268	M1	0.5000		1.7207	1.7250
E_s268	M1	10.0000	1.7373	1.7207	1.7250
E_s268	M1	1.0000	1.5072	1.7207	1.7250
E_s268	M1	2.0000	1.7196	1.7207	1.7250
E_s268	M1	5.0000	1.6906	1.7207	1.7250
E_s268	M22	0.5000	0.1353	0.4892	0.7233
E_s268	M22	10.0000	0.7042	0.4892	0.7233
E_s268	M22	1.0000	0.6308	0.4892	0.7233
E_s268	M22	2.0000	0.7828	0.4892	0.7233
E_s268	M22	5.0000	0.6925	0.4892	0.7233
E_s268	M23	0.5000	0.1035	0.4770	0.5420
E_s268	M23	10.0000	0.5665	0.4770	0.5420
E_s268	M23	1.0000	0.2650	0.4770	0.5420
E_s268	M23	2.0000	0.5020	0.4770	0.5420
E_s268	M23	5.0000	0.5044	0.4770	0.5420
E_s268	M24	0.5000		0.4648	0.6861
E_s268	M24	10.0000	0.6379	0.4648	0.6861
E_s268	M24	1.0000	0.4382	0.4648	0.6861
E_s268	M24	2.0000	0.5723	0.4648	0.6861
E_s268	M24	5.0000	0.5820	0.4648	0.6861
E_s268	M25	0.5000	0.0743	0.4346	0.6425
E_s268	M25	10.0000	0.7046	0.4346	0.6425
E_s268	M25	1.0000	0.7700	0.4346	0.6425
E_s268	M25	2.0000	0.6411	0.4346	0.6425
E_s268	M25	5.0000	0.5706	0.4346	0.6425
E_s268	M27	0.5000		0.3992	0.5526
E_s268	M27	10.0000	0.5351	0.3992	0.5526
E_s268	M27	1.0000	0.6651	0.3992	0.5526
E_s268	M27	2.0000	0.2496	0.3992	0.5526
E_s268	M27	5.0000	0.6248	0.3992	0.5526
E_s268	M2	0.5000	1.0606	1.5100	1.6844
E_s268	M2	10.0000	1.8247	1.5100	1.6844
E_s268	M2	1.0000	1.2476	1.5100	1.6844
E_s268	M2	2.0000	1.5086	1.5100	1.6844
E_s268	M2	5.0000	1.5597	1.5100	1.6844
E_s268	M3	0.5000	0.7248	1.4380	1.4630
E_s268	M3	10.0000	1.4977	1.4380	1.4630
E_s268	M3	1.0000	1.1039	1.4380	1.4630
E_s268	M3	2.0000	1.3475	1.4380	1.4630
E_s268	M3	5.0000	1.4851	1.4380	1.4630
E_s268	M4	0.5000	0.8926	1.3718	1.5315
E_s268	M4	10.0000	1.5549	1.3718	1.5315
E_s268	M4	1.0000	1.0673	1.3718	1.5315
E_s268	M4	2.0000	1.4516	1.3718	1.5315
E_s268	M4	5.0000	1.4831	1.3718	1.5315
E_s268	M6	0.5000	0.8744	1.3549	1.3298
E_s268	M6	10.0000	1.4639	1.3549	1.3298
E_s268	M6	1.0000	0.8245	1.3549	1.3298
E_s268	M6	2.0000	1.1601	1.3549	1.3298
E_s268	M6	5.0000	1.3397	1.3549	1.3298
E_s268	RUN_OUT	0.5000			
E_s268	RUN_OUT	10.0000	0.0189		
E_s268	RUN_OUT	1.0000	0.2417		
E_s268	RUN_OUT	2.0000			
E_s268	RUN_OUT	5.0000	0.0319		
E_s30	M10	0.5000		1.1500	1.2108
E_s30	M10	10.0000	1.2485	1.1500	1.2108
E_s30	M10	1.0000	0.5739	1.1500	1.2108
E_s30	M10	2.0000	0.9329	1.1500	1.2108
E_s30	M10	5.0000	1.1291	1.1500	1.2108
E_s30	M12	0.5000	0.2372	1.0220	1.1568
E_s30	M12	10.0000	1.1367	1.0220	1.1568
E_s30	M12	1.0000	0.7772	1.0220	1.1568
E_s30	M12	2.0000	1.0072	1.0220	1.1568
E_s30	M12	5.0000	1.1432	1.0220	1.1568
E_s30	M13	0.5000		0.8612	1.0326
E_s30	M13	10.0000	0.9993	0.8612	1.0326
E_s30	M13	1.0000	0.6535	0.8612	1.0326
E_s30	M13	2.0000	0.7910	0.8612	1.0326
E_s30	M13	5.0000	0.9610	0.8612	1.0326
E_s30	M17	0.5000	0.0119	0.7440	0.7020
E_s30	M17	10.0000	0.6671	0.7440	0.7020
E_s30	M17	1.0000	0.3598	0.7440	0.7020
E_s30	M17	2.0000	0.5253	0.7440	0.7020
E_s30	M17	5.0000	0.6314	0.7440	0.7020
E_s30	M18	0.5000		0.7413	0.8578
E_s30	M18	10.0000	0.8268	0.7413	0.8578
E_s30	M18	1.0000	0.5910	0.7413	0.8578
E_s30	M18	2.0000	0.7462	0.7413	0.8578
E_s30	M18	5.0000	0.8158	0.7413	0.8578
E_s30	M19	0.5000		0.5776	0.8862
E_s30	M19	10.0000	0.7939	0.5776	0.8862
E_s30	M19	1.0000	0.3838	0.5776	0.8862
E_s30	M19	2.0000	0.7155	0.5776	0.8862
E_s30	M19	5.0000	0.7807	0.5776	0.8862
E_s30	M1	0.5000		1.7207	1.7250
E_s30	M1	10.0000	1.7802	1.7207	1.7250
E_s30	M1	1.0000	0.8801	1.7207	1.7250
E_s30	M1	2.0000	1.4809	1.7207	1.7250
E_s30	M1	5.0000	1.6924	1.7207	1.7250
E_s30	M22	0.5000		0.4892	0.7233
E_s30	M22	10.0000	0.7081	0.4892	0.7233
E_s30	M22	1.0000	0.3900	0.4892	0.7233
E_s30	M22	2.0000	0.5797	0.4892	0.7233
E_s30	M22	5.0000	0.6533	0.4892	0.7233
E_s30	M23	0.5000		0.4770	0.5420
E_s30	M23	10.0000	0.5688	0.4770	0.5420
E_s30	M23	1.0000	0.2973	0.4770	0.5420
E_s30	M23	2.0000	0.4122	0.4770	0.5420
E_s30	M23	5.0000	0.5216	0.4770	0.5420
E_s30	M24	0.5000		0.4648	0.6861
E_s30	M24	10.0000	0.6401	0.4648	0.6861
E_s30	M24	1.0000	0.2907	0.4648	0.6861
E_s30	M24	2.0000	0.5566	0.4648	0.6861
E_s30	M24	5.0000	0.6136	0.4648	0.6861
E_s30	M25	0.5000		0.4346	0.6425
E_s30	M25	10.0000	0.6564	0.4346	0.6425
E_s30	M25	1.0000	0.3579	0.4346	0.6425
E_s30	M25	2.0000	0.5690	0.4346	0.6425
E_s30	M25	5.0000	0.5881	0.4346	0.6425
E_s30	M27	0.5000		0.3992	0.5526
E_s30	M27	10.0000	0.5147	0.3992	0.5526
E_s30	M27	1.0000	0.2488	0.3992	0.5526
E_s30	M27	2.0000	0.3394	0.3992	0.5526
E_s30	M27	5.0000	0.5494	0.3992	0.5526
E_s30	M2	0.5000	0.3168	1.5100	1.6844
E_s30	M2	10.0000	1.6927	1.5100	1.6844
E_s30	M2	1.0000	0.9063	1.5100	1.6844
E_s30	M2	2.0000	1.3543	1.5100	1.6844
E_s30	M2	5.0000	1.5419	1.5100	1.6844
E_s30	M3	0.5000	0.0171	1.4380	1.4630
E_s30	M3	10.0000	1.5394	1.4380	1.4630
E_s30	M3	1.0000	0.7336	1.4380	1.4630
E_s30	M3	2.0000	1.2926	1.4380	1.4630
E_s30	M3	5.0000	1.4513	1.4380	1.4630
E_s30	M4	0.5000	0.1186	1.3718	1.5315
E_s30	M4	10.0000	1.4816	1.3718	1.5315
E_s30	M4	1.0000	0.7210	1.3718	1.5315
E_s30	M4	2.0000	1.2415	1.3718	1.5315
E_s30	M4	5.0000	1.4597	1.3718	1.5315
E_s30	M6	0.5000		1.3549	1.3298
E_s30	M6	10.0000	1.4439	1.3549	1.3298
E_s30	M6	1.0000	0.6230	1.3549	1.3298
E_s30	M6	2.0000	1.1124	1.3549	1.3298
E_s30	M6	5.0000	1.3817	1.3549	1.3298
E_s30	RUN_OUT	0.5000			
E_s30	RUN_OUT	10.0000	0.0247		
E_s30	RUN_OUT	1.0000	0.0903		
E_s30	RUN_OUT	2.0000	0.0829		
E_s30	RUN_OUT	5.0000	0.0257		
E_s60	M10	0.5000		1.1500	1.2108
E_s60	M10	10.0000	1.2578	1.1500	1.2108
E_s60	M10	1.0000	0.7237	1.1500	1.2108
E_s60	M10	2.0000	1.0093	1.1500	1.2108
E_s60	M10	5.0000	1.1459	1.1500	1.2108
E_s60	M12	0.5000	0.0330	1.0220	1.1568
E_s60	M12	10.0000	1.1139	1.0220	1.1568
E_s60	M12	1.0000	1.0245	1.0220	1.1568
E_s60	M12	2.0000	1.0655	1.0220	1.1568
E_s60	M12	5.0000	1.1395	1.0220	1.1568
E_s60	M13	0.5000		0.8612	1.0326
E_s60	M13	10.0000	1.0119	0.8612	1.0326
E_s60	M13	1.0000	0.6846	0.8612	1.0326
E_s60	M13	2.0000	0.8333	0.8612	1.0326
E_s60	M13	5.0000	0.9645	0.8612	1.0326
E_s60	M17	0.5000	0.3505	0.7440	0.7020
E_s60	M17	10.0000	0.6936	0.7440	0.7020
E_s60	M17	1.0000	0.5354	0.7440	0.7020
E_s60	M17	2.0000	0.6097	0.7440	0.7020
E_s60	M17	5.0000	0.6475	0.7440	0.7020
E_s60	M18	0.5000	0.0523	0.7413	0.8578
E_s60	M18	10.0000	0.8467	0.7413	0.8578
E_s60	M18	1.0000	0.7054	0.7413	0.8578
E_s60	M18	2.0000	0.8200	0.7413	0.8578
E_s60	M18	5.0000	0.8594	0.7413	0.8578
E_s60	M19	0.5000	0.0120	0.5776	0.8862
E_s60	M19	10.0000	0.8322	0.5776	0.8862
E_s60	M19	1.0000	0.6117	0.5776	0.8862
E_s60	M19	2.0000	0.6407	0.5776	0.8862
E_s60	M19	5.0000	0.7693	0.5776	0.8862
E_s60	M1	0.5000		1.7207	1.7250
E_s60	M1	10.0000	1.7681	1.7207	1.7250
E_s60	M1	1.0000	1.0995	1.7207	1.7250
E_s60	M1	2.0000	1.5284	1.7207	1.7250
E_s60	M1	5.0000	1.6828	1.7207	1.7250
E_s60	M22	0.5000	0.0339	0.4892	0.7233
E_s60	M22	10.0000	0.7257	0.4892	0.7233
E_s60	M22	1.0000	0.5867	0.4892	0.7233
E_s60	M22	2.0000	0.6349	0.4892	0.7233
E_s60	M22	5.0000	0.7084	0.4892	0.7233
E_s60	M23	0.5000		0.4770	0.5420
E_s60	M23	10.0000	0.5890	0.4770	0.5420
E_s60	M23	1.0000	0.4252	0.4770	0.5420
E_s60	M23	2.0000	0.0611	0.4770	0.5420
E_s60	M23	5.0000	0.5489	0.4770	0.5420
E_s60	M24	0.5000		0.4648	0.6861
E_s60	M24	10.0000	0.6322	0.4648	0.6861
E_s60	M24	1.0000	0.5147	0.4648	0.6861
E_s60	M24	2.0000	0.5832	0.4648	0.6861
E_s60	M24	5.0000	0.6459	0.4648	0.6861
E_s60	M25	0.5000		0.4346	0.6425
E_s60	M25	10.0000	0.6586	0.4346	0.6425
E_s60	M25	1.0000	0.5697	0.4346	0.6425
E_s60	M25	2.0000	0.6250	0.4346	0.6425
E_s60	M25	5.0000	0.5580	0.4346	0.6425
E_s60	M27	0.5000		0.3992	0.5526
E_s60	M27	10.0000	0.5189	0.3992	0.5526
E_s60	M27	1.0000	0.4068	0.3992	0.5526
E_s60	M27	2.0000		0.3992	0.5526
E_s60	M27	5.0000	0.5372	0.3992	0.5526
E_s60	M2	0.5000	0.1608	1.5100	1.6844
E_s60	M2	10.0000	1.6900	1.5100	1.6844
E_s60	M2	1.0000	1.1794	1.5100	1.6844
E_s60	M2	2.0000	1.4877	1.5100	1.6844
E_s60	M2	5.0000	1.6134	1.5100	1.6844
E_s60	M3	0.5000	0.2155	1.4380	1.4630
E_s60	M3	10.0000	1.5745	1.4380	1.4630
E_s60	M3	1.0000	0.9622	1.4380	1.4630
E_s60	M3	2.0000	1.3260	1.4380	1.4630
E_s60	M3	5.0000	1.5320	1.4380	1.4630
E_s60	M4	0.5000	0.2819	1.3718	1.5315
E_s60	M4	10.0000	1.5019	1.3718	1.5315
E_s60	M4	1.0000	0.9220	1.3718	1.5315
E_s60	M4	2.0000	1.3497	1.3718	1.5315
E_s60	M4	5.0000	1.4136	1.3718	1.5315
E_s60	M6	0.5000	0.3491	1.3549	1.3298
E_s60	M6	10.0000	1.4400	1.3549	1.3298
E_s60	M6	1.0000	0.8796	1.3549	1.3298
E_s60	M6	2.0000	1.1297	1.3549	1.3298
E_s60	M6	5.0000	1.4191	1.3549	1.3298
E_s60	RUN_OUT	0.5000			
E_s60	RUN_OUT	10.0000	0.0367		
E_s60	RUN_OUT	1.0000			
E_s60	RUN_OUT	2.0000			
E_s60	RUN_OUT	5.0000			
