arm	medium	cov	surv	lm_win	det_frac	n_win
E_s123	M12	5.0000	True	78.0949	0.7820	369
E_s123	M13	0.5000	True	17.5230	0.1755	369
E_s123	M13	10.0000	True	96.6938	0.9681	369
E_s123	M13	1.0000	True	31.9485	0.3198	369
E_s123	M13	2.0000	True	53.4797	0.5355	369
E_s123	M13	5.0000	True	83.8943	0.8400	369
E_s123	M17	0.5000	True	17.1274	0.1715	369
E_s123	M17	10.0000	True	92.6152	0.9273	369
E_s123	M17	1.0000	True	31.0352	0.3107	369
E_s123	M17	2.0000	True	51.0949	0.5117	369
E_s123	M17	5.0000	True	79.1870	0.7929	369
E_s123	M18	0.5000	True	17.7805	0.1780	369
E_s123	M18	10.0000	True	96.3171	0.9644	369
E_s123	M18	1.0000	True	31.5772	0.3164	369
E_s123	M18	2.0000	True	52.9648	0.5303	369
E_s123	M18	5.0000	True	82.9187	0.8301	369
E_s123	M19	0.5000	True	16.5014	0.1652	369
E_s123	M19	10.0000	True	90.4715	0.9059	369
E_s123	M19	1.0000	True	28.8266	0.2886	369
E_s123	M19	2.0000	True	47.5664	0.4764	369
E_s123	M19	5.0000	True	75.5610	0.7566	369
E_s123	M1	0.5000	False	17.3631	0.1739	369
E_s123	M1	10.0000	True	93.9837	0.9410	369
E_s123	M1	1.0000	True	30.8076	0.3086	369
E_s123	M1	2.0000	True	50.9377	0.5101	369
E_s123	M1	5.0000	True	79.8266	0.7992	369
E_s123	M22	0.5000	False	17.4905	0.1751	369
E_s123	M22	10.0000	True	94.4986	0.9462	369
E_s123	M22	1.0000	True	31.5745	0.3162	369
E_s123	M22	2.0000	True	52.0379	0.5209	369
E_s123	M22	5.0000	True	81.7344	0.8184	369
E_s123	M23	0.5000	False	17.4715	0.1748	369
E_s123	M23	10.0000	True	96.9431	0.9706	369
E_s123	M23	1.0000	True	31.4688	0.3151	369
E_s123	M23	2.0000	True	53.4986	0.5356	369
E_s123	M23	5.0000	True	84.5420	0.8465	369
E_s123	M24	0.5000	True	17.1897	0.1722	369
E_s123	M24	10.0000	True	96.9566	0.9708	369
E_s123	M24	1.0000	True	31.3821	0.3142	369
E_s123	M24	2.0000	True	53.6640	0.5372	369
E_s123	M24	5.0000	True	84.5854	0.8469	369
E_s123	M25	0.5000	False	17.6423	0.1767	369
E_s123	M25	10.0000	True	95.2954	0.9542	369
E_s123	M25	1.0000	True	32.0678	0.3210	369
E_s123	M25	2.0000	True	52.9783	0.5305	369
E_s123	M25	5.0000	True	83.4336	0.8353	369
E_s123	M27	0.5000	False	17.4743	0.1750	369
E_s123	M27	10.0000	True	97.0407	0.9716	369
E_s123	M27	1.0000	True	32.3496	0.3239	369
E_s123	M27	2.0000	True	53.3360	0.5341	369
E_s123	M27	5.0000	True	84.4688	0.8457	369
E_s123	M2	0.5000	True	16.5366	0.1657	369
E_s123	M2	10.0000	True	86.7127	0.8683	369
E_s123	M2	1.0000	True	30.0786	0.3012	369
E_s123	M2	2.0000	True	47.4607	0.4753	369
E_s123	M2	5.0000	True	72.6694	0.7277	369
E_s123	M3	0.5000	True	17.6694	0.1769	369
E_s123	M3	10.0000	True	95.7615	0.9588	369
E_s123	M3	1.0000	True	31.4390	0.3147	369
E_s123	M3	2.0000	True	52.3496	0.5245	369
E_s123	M3	5.0000	True	82.2114	0.8232	369
E_s123	M4	0.5000	True	16.9485	0.1698	369
E_s123	M4	10.0000	True	89.4173	0.8953	369
E_s123	M4	1.0000	True	29.9051	0.2994	369
E_s123	M4	2.0000	True	48.3713	0.4842	369
E_s123	M4	5.0000	True	75.5420	0.7565	369
E_s123	M6	0.5000	True	17.7615	0.1778	369
E_s123	M6	10.0000	True	96.0108	0.9613	369
E_s123	M6	1.0000	True	31.6640	0.3170	369
E_s123	M6	2.0000	True	52.9675	0.5305	369
E_s123	M6	5.0000	True	82.7588	0.8287	369
E_s123	RUN_OUT	0.5000	True	17.7127	0.1773	369
E_s123	RUN_OUT	10.0000	True	92.7859	0.9290	369
E_s123	RUN_OUT	1.0000	True	31.6938	0.3171	369
E_s123	RUN_OUT	2.0000	True	52.2629	0.5234	369
