arm	medium	cov	log2ptr	est_cov	passed	growth_rate	pred_log2ptr
C_default	M19	2				0.5776	0.8862
C_relaxed	M19	2	1.3320	1.9057		0.5776	0.8862
A	M18	2	0.7953280386	1.715045208	True	0.7413	0.8578
B	M18	2	0.989723367	1.715045208	False	0.7413	0.8578
E	M18	2	0.7945006342	1.584689738	True	0.7413	0.8578
C_default	M18	2				0.7413	0.8578
C_relaxed	M18	2	1.1479	1.8919		0.7413	0.8578
A	M17	2	0.5862041044	1.813287042	False	0.7440	0.7020
B	M17	2	0.9442316876	1.808256326	False	0.7440	0.7020
E	M17	2	0.516272084	1.684023074	False	0.7440	0.7020
C_default	M17	2				0.7440	0.7020
C_relaxed	M17	2	0.8748	1.9759		0.7440	0.7020
A	M13	2	0.8863205932	1.722488126	True	0.8612	1.0326
B	M13	2	1.069212342	1.722488126	False	0.8612	1.0326
E	M13	2	0.8617351371	1.617653001	True	0.8612	1.0326
C_default	M13	2				0.8612	1.0326
C_relaxed	M13	2	0.9318	1.9001		0.8612	1.0326
A	M12	2	1.051601651	1.778024625	False	1.0220	1.1568
B	M12	2	1.287349401	1.762298694	False	1.0220	1.1568
E	M12	2	0.9849466249	1.601545887	False	1.0220	1.1568
C_default	M12	2				1.0220	1.1568
C_relaxed	M12	2	1.3187	1.9380		1.0220	1.1568
A	M1	2	1.715323888	1.660511491	True	1.7207	1.7250
B	M1	2	1.837891458	1.660511491	True	1.7207	1.7250
E	M1	2	1.614232374	1.498965962	False	1.7207	1.7250
C_default	M1	2				1.7207	1.7250
C_relaxed	M1	2	2.0131	1.9024		1.7207	1.7250
A	M10	2	0.9959622999	1.765012349	True	1.1500	1.2108
B	M10	2	1.016815635	1.765012349	True	1.1500	1.2108
E	M10	2	1.049750982	1.581062036	False	1.1500	1.2108
C_default	M10	2				1.1500	1.2108
C_relaxed	M10	2	1.1761	1.8476		1.1500	1.2108
A	M4	2	1.218972839	1.860766129	False	1.3718	1.5315
B	M4	2	1.352747007	1.860766129	False	1.3718	1.5315
E	M4	2	1.187648681	1.704146098	False	1.3718	1.5315
C_default	M4	2				1.3718	1.5315
C_relaxed	M4	2	1.5354	1.9318		1.3718	1.5315
A	M6	5	1.31025394	4.055030463	True	1.3549	1.3298
B	M6	5	1.27472662	4.055030463	True	1.3549	1.3298
E	M6	5	1.43972576	3.738774317	True	1.3549	1.3298
C_default	M6	5				1.3549	1.3298
C_relaxed	M6	5	1.4076	3.6180		1.3549	1.3298
A	M3	5	1.489734083	4.052425682	True	1.4380	1.4630
B	M3	5	1.496085911	4.052425682	True	1.4380	1.4630
E	M3	5	1.487925156	3.76828091	True	1.4380	1.4630
C_default	M3	5				1.4380	1.4630
C_relaxed	M3	5	1.5932	3.5259		1.4380	1.4630
A	M2	5	1.805282035	4.487063667	True	1.5100	1.6844
B	M2	5	1.854357334	4.487063667	True	1.5100	1.6844
E	M2	5	1.675878967	4.056636843	True	1.5100	1.6844
C_default	M2	5				1.5100	1.6844
C_relaxed	M2	5	1.6765	3.6376		1.5100	1.6844
A	RUN_OUT	5	0.04551006838	4.379683029	False		
B	RUN_OUT	5	0.3834865174	4.329140207	False		
E	RUN_OUT	5	-0.008715713586	4.067498302	True		
C_default	RUN_OUT	5					
C_relaxed	RUN_OUT	5	0.2406	4.2000			
A	M27	5	0.5198458516	4.100119929	False	0.3992	0.5526
B	M27	5	0.6120252644	4.100119929	True	0.3992	0.5526
E	M27	5	0.5402520897	3.86687082	True	0.3992	0.5526
C_default	M27	5				0.3992	0.5526
C_relaxed	M27	5	0.7553	4.0648		0.3992	0.5526
A	M25	5	0.6304910441	4.236389243	True	0.4346	0.6425
B	M25	5	0.6929530112	4.236389243	True	0.4346	0.6425
E	M25	5	0.604652999	3.943146623	True	0.4346	0.6425
C_default	M25	5				0.4346	0.6425
C_relaxed	M25	5	0.7328	3.9773		0.4346	0.6425
A	M24	5	0.6336296871	4.096738823	True	0.4648	0.6861
B	M24	5	0.6786301802	4.096738823	True	0.4648	0.6861
E	M24	5	0.6089070144	3.849043819	True	0.4648	0.6861
C_default	M24	5				0.4648	0.6861
C_relaxed	M24	5	0.7715	4.0525		0.4648	0.6861
A	M22	5	0.7034565769	4.178829285	True	0.4892	0.7233
B	M22	5	0.765561379	4.178829285	True	0.4892	0.7233
E	M22	5	0.6993308525	3.872198463	True	0.4892	0.7233
C_default	M22	5				0.4892	0.7233
C_relaxed	M22	5	0.8486	3.7302		0.4892	0.7233
A	M23	5	0.5571711359	4.110358088	True	0.4770	0.5420
B	M23	5	0.6134163939	4.110358088	True	0.4770	0.5420
E	M23	5	0.5693741768	3.852781219	True	0.4770	0.5420
C_default	M23	5				0.4770	0.5420
C_relaxed	M23	5	0.7621	4.0144		0.4770	0.5420
A	M19	5	0.8546863096	3.81674668	True	0.5776	0.8862
B	M19	5	1.074298559	3.81674668	True	0.5776	0.8862
E	M19	5	0.7850289313	3.54246472	True	0.5776	0.8862
C_default	M19	5				0.5776	0.8862
C_relaxed	M19	5	0.8937	3.5769		0.5776	0.8862
A	M18	5	0.8255553578	4.145572638	True	0.7413	0.8578
B	M18	5	0.844841405	4.145572638	True	0.7413	0.8578
E	M18	5	0.8852444092	3.870050906	True	0.7413	0.8578
C_default	M18	5				0.7413	0.8578
C_relaxed	M18	5	1.0165	3.6734		0.7413	0.8578
A	M17	5	0.7153290387	4.234591438	True	0.7440	0.7020
B	M17	5	0.7820078077	4.234591438	True	0.7440	0.7020
E	M17	5	0.7238538473	4.010157242	True	0.7440	0.7020
C_default	M17	5				0.7440	0.7020
C_relaxed	M17	5	0.8405	3.7654		0.7440	0.7020
A	M13	5	1.009291839	4.130957207	True	0.8612	1.0326
B	M13	5	1.046698678	4.130957207	True	0.8612	1.0326
E	M13	5	0.9625529252	3.86432631	True	0.8612	1.0326
C_default	M13	5				0.8612	1.0326
C_relaxed	M13	5	1.0940	3.7555		0.8612	1.0326
A	M12	5	1.260551627	4.196206004	True	1.0220	1.1568
B	M12	5	1.330105432	4.196206004	True	1.0220	1.1568
E	M12	5	1.152627038	3.838963842	True	1.0220	1.1568
C_default	M12	5				1.0220	1.1568
C_relaxed	M12	5	1.2447	3.5642		1.0220	1.1568
A	M1	5	1.753768896	4.097618779	True	1.7207	1.7250
B	M1	5	1.783877777	4.097618779	True	1.7207	1.7250
E	M1	5	1.741464658	3.742089356	True	1.7207	1.7250
C_default	M1	5				1.7207	1.7250
C_relaxed	M1	5	1.7486	3.5673		1.7207	1.7250
A	M10	5	1.148118106	4.11296252	True	1.1500	1.2108
B	M10	5	1.196552754	4.11296252	True	1.1500	1.2108
E	M10	5	1.154284371	3.737549693	True	1.1500	1.2108
C_default	M10	5				1.1500	1.2108
C_relaxed	M10	5	1.2734	3.6328		1.1500	1.2108
A	M4	5	1.394987338	4.354525919	True	1.3718	1.5315
B	M4	5	1.46027539	4.354525919	True	1.3718	1.5315
E	M4	5	1.454786013	4.023846459	True	1.3718	1.5315
C_default	M4	5				1.3718	1.5315
C_relaxed	M4	5	1.5313	3.5790		1.3718	1.5315
A	M6	10	1.347062992	8.078962652	True	1.3549	1.3298
B	M6	10	1.343505846	8.078962652	True	1.3549	1.3298
E	M6	10	1.337849755	7.491427407	True	1.3549	1.3298
C_default	M6	10	1.1518	7.2350		1.3549	1.3298
C_relaxed	M6	10	1.1518	7.2350		1.3549	1.3298
A	M3	10	1.496762796	8.054714384	True	1.4380	1.4630
B	M3	10	1.51558835	8.054714384	True	1.4380	1.4630
E	M3	10	1.527883872	7.453582974	True	1.4380	1.4630
C_default	M3	10	1.3337	7.1331		1.4380	1.4630
C_relaxed	M3	10	1.3337	7.1331		1.4380	1.4630
A	M2	10	1.793359752	8.458594476	False	1.5100	1.6844
B	M2	10	1.795584459	8.458594476	True	1.5100	1.6844
E	M2	10	1.684128303	7.899204709	True	1.5100	1.6844
C_default	M2	10	1.5188	6.2992		1.5100	1.6844
C_relaxed	M2	10	1.5188	6.2992		1.5100	1.6844
A	RUN_OUT	10	0.02874529721	8.66918211	True		
B	RUN_OUT	10	0.3861122506	8.698974819	False		
E	RUN_OUT	10	0.07738053036	8.254732535	True		
C_default	RUN_OUT	10	0.2306	7.5739			
C_relaxed	RUN_OUT	10	0.2306	7.5739			
A	M27	10	0.520061394	8.202336756	True	0.3992	0.5526
B	M27	10	0.540670837	8.202336756	True	0.3992	0.5526
E	M27	10	0.5206769779	7.729689626	True	0.3992	0.5526
C_default	M27	10	0.5423	7.6674		0.3992	0.5526
C_relaxed	M27	10	0.5423	7.6674		0.3992	0.5526
A	M25	10	0.6438211253	8.351419277	True	0.4346	0.6425
B	M25	10	0.6910429061	8.351419277	True	0.4346	0.6425
E	M25	10	0.6368730832	7.829789294	True	0.4346	0.6425
C_default	M25	10	0.6150	7.4471		0.4346	0.6425
C_relaxed	M25	10	0.6150	7.4471		0.4346	0.6425
A	M24	10	0.6442468288	8.138518682	True	0.4648	0.6861
B	M24	10	0.6826710121	8.138518682	True	0.4648	0.6861
E	M24	10	0.6492470568	7.661369857	True	0.4648	0.6861
C_default	M24	10	0.5938	7.6020		0.4648	0.6861
C_relaxed	M24	10	0.5938	7.6020		0.4648	0.6861
A	M22	10	0.7636538015	8.333558592	True	0.4892	0.7233
B	M22	10	0.7934461006	8.333558592	True	0.4892	0.7233
E	M22	10	0.7145954743	7.634339352	True	0.4892	0.7233
C_default	M22	10	0.6024	7.1216		0.4892	0.7233
C_relaxed	M22	10	0.6024	7.1216		0.4892	0.7233
A	M23	10	0.5637511175	8.192104414	True	0.4770	0.5420
B	M23	10	0.5848272256	8.192104414	True	0.4770	0.5420
E	M23	10	0.5878124329	7.717970064	True	0.4770	0.5420
C_default	M23	10	0.5490	7.5167		0.4770	0.5420
C_relaxed	M23	10	0.5490	7.5167		0.4770	0.5420
A	M19	10	0.9362687406	7.503633458	True	0.5776	0.8862
B	M19	10	1.201256567	7.503633458	True	0.5776	0.8862
E	M19	10	0.8408757256	6.907259437	True	0.5776	0.8862
C_default	M19	10	0.7636	6.5480		0.5776	0.8862
C_relaxed	M19	10	0.7636	6.5480		0.5776	0.8862
A	M18	10	0.8397292979	8.211686482	True	0.7413	0.8578
B	M18	10	0.8375012927	8.211686482	True	0.7413	0.8578
E	M18	10	0.8407545777	7.778805576	True	0.7413	0.8578
C_default	M18	10	0.7591	7.3459		0.7413	0.8578
C_relaxed	M18	10	0.7591	7.3459		0.7413	0.8578
A	M17	10	0.6810481122	8.457624806	True	0.7440	0.7020
B	M17	10	0.7839722686	8.457624806	False	0.7440	0.7020
E	M17	10	0.7448695608	8.150406863	True	0.7440	0.7020
C_default	M17	10	0.6007	7.1566		0.7440	0.7020
C_relaxed	M17	10	0.6007	7.1566		0.7440	0.7020
A	M13	10	1.008173394	8.183668524	True	0.8612	1.0326
B	M13	10	0.9979014615	8.183668524	True	0.8612	1.0326
E	M13	10	1.01828429	7.729324241	True	0.8612	1.0326
C_default	M13	10	0.8814	7.3211		0.8612	1.0326
C_relaxed	M13	10	0.8814	7.3211		0.8612	1.0326
A	M12	10	1.224278684	8.279563822	True	1.0220	1.1568
B	M12	10	1.310185411	8.279563822	True	1.0220	1.1568
E	M12	10	1.212982586	7.546518362	True	1.0220	1.1568
C_default	M12	10	1.0084	6.7200		1.0220	1.1568
C_relaxed	M12	10	1.0084	6.7200		1.0220	1.1568
A	M1	10	1.81389611	8.06987744	True	1.7207	1.7250
B	M1	10	1.800957447	8.06987744	True	1.7207	1.7250
E	M1	10	1.800598338	7.462702768	True	1.7207	1.7250
C_default	M1	10	1.6473	6.9103		1.7207	1.7250
C_relaxed	M1	10	1.6473	6.9103		1.7207	1.7250
A	M10	10	1.244437173	8.176410504	True	1.1500	1.2108
B	M10	10	1.190833348	8.176410504	True	1.1500	1.2108
E	M10	10	1.212504842	7.500864028	True	1.1500	1.2108
C_default	M10	10	1.0572	7.2135		1.1500	1.2108
C_relaxed	M10	10	1.0572	7.2135		1.1500	1.2108
A	M4	10	1.548475124	8.700351305	True	1.3718	1.5315
B	M4	10	1.645095453	8.700351305	True	1.3718	1.5315
E	M4	10	1.564499612	7.939649231	True	1.3718	1.5315
C_default	M4	10	1.4409	6.6517		1.3718	1.5315
C_relaxed	M4	10	1.4409	6.6517		1.3718	1.5315
