species	sample	slope	slope_prox	intercept	n_anchors	r2	median_df
MGYG000000668	S06	-0.151767	0.151767	0.39261	187	0.0044	0.5
MGYG000000695	S06	0.285403	-0.285403	0.633089	149	0.0112	0.972973
MGYG000000696	S06	-1.388735	1.388735	1.037174	36	0.1398	0.924163
MGYG000000707	S06	0.294736	-0.294736	0.624778	66	0.0112	0.962963
MGYG000000715	S06	-0.329963	0.329963	0.355914	114	0.0167	0.0
MGYG000000723	S06	-0.084564	0.084564	0.501096	931	0.0013	0.5
MGYG000000732	S06	0.048978	-0.048978	0.904785	78	0.0014	0.978432
MGYG000000741	S06	-0.377659	0.377659	0.549658	71	0.0238	0.5
MGYG000000743	S06	-0.189547	0.189547	0.628347	683	0.0071	0.666667
MGYG000000753	S06	-0.133509	0.133509	0.66577	134	0.003	0.763889
MGYG000000781	S06	-0.01357	0.01357	0.644958	47	0.0	0.75
MGYG000000823	S06	0.039868	-0.039868	0.5858	128	0.0002	0.75
MGYG000000841	S06	-0.0917	0.0917	0.354516	247	0.0014	0.333333
MGYG000000884	S06	0.079506	-0.079506	0.444299	438	0.001	0.5
MGYG000000917	S06	-0.019654	0.019654	0.449847	141	0.0001	0.5
MGYG000000944	S06	-0.229703	0.229703	0.276605	391	0.0131	0.0
MGYG000001029	S06	0.074605	-0.074605	0.786311	574	0.0017	0.925926
MGYG000001057	S06	0.035275	-0.035275	0.244025	410	0.0003	0.0
MGYG000001131	S06	-0.802131	0.802131	0.739506	30	0.0492	0.828571
MGYG000001136	S06	0.005982	-0.005982	0.305527	420	0.0	0.0
MGYG000001178	S06	-0.14717	0.14717	0.200219	71	0.0059	0.0
MGYG000001186	S06	-0.301199	0.301199	0.815314	57	0.0148	0.914286
MGYG000001202	S06	0.03175	-0.03175	0.445328	102	0.0002	0.5
MGYG000001246	S06	-0.056797	0.056797	0.231129	78	0.0007	0.0
MGYG000001255	S06	0.138992	-0.138992	0.556671	357	0.0027	0.714286
MGYG000001294	S06	-0.108561	0.108561	0.29018	295	0.0022	0.0
MGYG000001300	S06	0.203919	-0.203919	0.457211	563	0.0049	0.6
MGYG000001310	S06	-0.104417	0.104417	0.553627	517	0.002	0.666667
MGYG000001313	S06	0.001822	-0.001822	0.353172	549	0.0	0.0
MGYG000001315	S06	0.169457	-0.169457	0.380007	527	0.0051	0.5
MGYG000001322	S06	-0.513487	0.513487	0.656968	102	0.0316	0.714286
MGYG000001331	S06	-0.317439	0.317439	0.186401	191	0.0385	0.0
MGYG000001337	S06	0.053001	-0.053001	0.705782	81	0.0005	0.888889
MGYG000001345	S06	-0.336902	0.336902	0.610602	935	0.0168	0.666667
MGYG000001346	S06	0.009194	-0.009194	0.789814	1913	0.0	0.911765
MGYG000001354	S06	-0.520055	0.520055	0.80189	73	0.0514	0.8
MGYG000001356	S06	-0.582814	0.582814	0.798236	214	0.0456	0.875
MGYG000001359	S06	0.010525	-0.010525	0.330748	899	0.0	0.333333
MGYG000001364	S06	-0.072618	0.072618	0.842484	602	0.0016	0.944444
MGYG000001372	S06	-0.140474	0.140474	0.722449	80	0.0025	0.895644
MGYG000001374	S06	-0.174236	0.174236	0.513046	689	0.0049	0.5
MGYG000001378	S06	0.058553	-0.058553	0.595031	1443	0.0007	0.75
MGYG000001387	S06	0.214902	-0.214902	0.160526	202	0.0103	0.0
MGYG000001410	S06	0.017255	-0.017255	0.751332	2679	0.0001	0.888889
MGYG000001420	S06	-0.058117	0.058117	0.66869	326	0.0007	0.809091
MGYG000001421	S06	-0.22583	0.22583	0.187083	64	0.0178	0.0
MGYG000001422	S06	0.40666	-0.40666	0.623992	289	0.0272	0.882353
MGYG000001430	S06	0.163087	-0.163087	0.537452	33	0.0039	0.666667
MGYG000001433	S06	0.306391	-0.306391	0.697865	111	0.0153	0.916667
MGYG000001434	S06	-0.37324	0.37324	0.735165	58	0.0142	0.75
MGYG000001489	S06	-0.059154	0.059154	0.339321	1127	0.0007	0.333333
MGYG000001490	S06	0.142985	-0.142985	0.611309	149	0.0033	0.8
MGYG000001499	S06	-0.061655	0.061655	0.188705	100	0.001	0.0
MGYG000001529	S06	-0.131413	0.131413	0.429664	608	0.0034	0.5
MGYG000001546	S06	0.033343	-0.033343	0.647484	227	0.0002	0.8
MGYG000001552	S06	0.050266	-0.050266	0.50185	69	0.0005	0.5
MGYG000001565	S06	-0.129346	0.129346	0.518086	432	0.0028	0.6
MGYG000001576	S06	-0.46445	0.46445	0.365799	157	0.054	0.0
MGYG000001608	S06	0.184846	-0.184846	0.436412	43	0.0064	0.5
MGYG000001626	S06	-0.684644	0.684644	0.697276	29	0.0998	0.6
MGYG000001627	S06	-0.419904	0.419904	0.458235	470	0.0289	0.333333
MGYG000001655	S06	-0.191885	0.191885	0.611563	73	0.0079	0.666667
MGYG000001659	S06	-0.38407	0.38407	0.737409	46	0.0257	0.903602
MGYG000001663	S06	-0.182029	0.182029	0.702906	44	0.0084	0.788889
MGYG000001714	S06	-0.057219	0.057219	0.31254	367	0.0006	0.0
MGYG000001742	S06	-0.269183	0.269183	0.430468	58	0.0136	0.333333
MGYG000001745	S06	-0.527802	0.527802	0.754954	97	0.0539	0.777778
MGYG000001780	S06	0.166337	-0.166337	0.566894	227	0.0052	0.75
MGYG000001824	S06	-0.230064	0.230064	0.668543	72	0.008	0.757353
MGYG000001835	S06	-0.588604	0.588604	0.878539	33	0.0601	0.920635
MGYG000001866	S06	-0.419591	0.419591	0.928654	39	0.0495	0.97191
MGYG000001887	S06	0.215739	-0.215739	0.308512	60	0.0064	0.5
MGYG000001925	S06	-0.067634	0.067634	0.711648	26	0.0007	0.912698
MGYG000001983	S06	-0.274797	0.274797	0.492293	80	0.0085	0.5
MGYG000002007	S06	0.28778	-0.28778	0.536873	139	0.011	0.75
MGYG000002033	S06	-0.176173	0.176173	0.788651	192	0.007	0.909091
MGYG000002040	S06	-0.016688	0.016688	0.62241	1197	0.0001	0.75
MGYG000002060	S06	-0.001982	0.001982	0.15564	248	0.0	0.0
MGYG000002072	S06	-0.390948	0.390948	0.421118	39	0.0223	0.0
MGYG000002080	S06	-0.139371	0.139371	0.736434	385	0.0025	0.978495
MGYG000002082	S06	0.005568	-0.005568	0.590912	122	0.0	0.714286
MGYG000002135	S06	-0.066931	0.066931	0.255319	28	0.0008	0.0
MGYG000002143	S06	0.006419	-0.006419	0.628682	90	0.0	0.75
MGYG000002144	S06	-0.09023	0.09023	0.629007	91	0.0011	0.75
MGYG000002155	S06	0.069767	-0.069767	0.099596	78	0.0016	0.0
MGYG000002156	S06	-0.208936	0.208936	0.719316	96	0.0057	0.75
MGYG000002203	S06	0.195349	-0.195349	0.648173	90	0.0087	0.825758
MGYG000002224	S06	-0.240511	0.240511	0.591312	102	0.008	0.633333
MGYG000002238	S06	-0.042212	0.042212	0.223822	137	0.0004	0.0
MGYG000002247	S06	-0.123929	0.123929	0.711169	201	0.0029	0.833333
MGYG000002271	S06	0.018497	-0.018497	0.398821	212	0.0	0.5
MGYG000002272	S06	-0.07924	0.07924	0.672563	1502	0.0012	0.788676
MGYG000002274	S06	-0.107561	0.107561	0.527373	279	0.0016	0.6
MGYG000002277	S06	0.004646	-0.004646	0.504064	71	0.0	0.666667
MGYG000002278	S06	-0.372746	0.372746	0.456188	160	0.0159	0.0
MGYG000002279	S06	-0.179266	0.179266	0.52212	465	0.0062	0.6
MGYG000002280	S06	0.624	-0.624	0.185346	154	0.0476	0.0
MGYG000002282	S06	-0.068513	0.068513	0.25546	165	0.0008	0.0
MGYG000002284	S06	-0.325692	0.325692	0.855507	195	0.0253	0.909091
MGYG000002285	S06	-0.595607	0.595607	0.716047	145	0.052	0.777778
MGYG000002287	S06	0.000637	-0.000637	0.326211	861	0.0	0.333333
MGYG000002292	S06	0.057881	-0.057881	0.287902	497	0.0006	0.0
MGYG000002295	S06	-0.555474	0.555474	0.532783	114	0.0479	0.5
MGYG000002298	S06	-0.14751	0.14751	0.395555	263	0.0026	0.285714
MGYG000002304	S06	0.505026	-0.505026	0.253568	312	0.0385	0.5
MGYG000002321	S06	-0.02306	0.02306	0.514539	549	0.0001	0.6
MGYG000002322	S06	-0.464139	0.464139	0.476771	210	0.039	0.5
MGYG000002323	S06	-0.103036	0.103036	0.409855	305	0.002	0.5
MGYG000002340	S06	0.57094	-0.57094	0.314892	114	0.0277	0.5
MGYG000002352	S06	0.718631	-0.718631	0.028295	107	0.1141	0.0
MGYG000002371	S06	-0.423434	0.423434	0.523519	48	0.0027	0.5
MGYG000002395	S06	-0.066566	0.066566	0.71013	1804	0.0009	0.833333
MGYG000002397	S06	-0.130872	0.130872	0.689463	70	0.0029	0.763889
MGYG000002438	S06	0.014447	-0.014447	0.773624	1663	0.0001	0.892857
MGYG000002444	S06	0.328969	-0.328969	0.336774	36	0.0224	0.5
MGYG000002445	S06	0.146361	-0.146361	0.418629	860	0.0038	0.5
MGYG000002448	S06	3.2e-05	-3.2e-05	0.288271	173	0.0	0.0
MGYG000002470	S06	-0.063311	0.063311	0.65145	1415	0.0008	0.75
MGYG000002478	S06	-0.141535	0.141535	0.88928	1432	0.0075	0.952981
MGYG000002480	S06	-0.092962	0.092962	0.176167	205	0.0031	0.0
MGYG000002482	S06	-0.129231	0.129231	0.698785	399	0.0035	0.8
MGYG000002487	S06	0.080383	-0.080383	0.108427	230	0.0021	0.0
MGYG000002492	S06	-0.096068	0.096068	0.903781	772	0.0043	0.964286
MGYG000002506	S06	-0.175915	0.175915	0.417479	898	0.0058	0.5
MGYG000002509	S06	-0.116414	0.116414	0.226475	393	0.0034	0.0
MGYG000002515	S06	-0.044391	0.044391	0.392557	297	0.0003	0.5
MGYG000002517	S06	-0.106899	0.106899	0.637874	1045	0.0018	0.75
MGYG000002530	S06	-0.26032	0.26032	0.326156	287	0.0149	0.0
MGYG000002545	S06	-0.085549	0.085549	0.607539	1387	0.0013	0.692308
MGYG000002549	S06	0.052495	-0.052495	0.738695	1615	0.0007	0.875
MGYG000002556	S06	0.009981	-0.009981	0.80013	2008	0.0	0.923077
MGYG000002560	S06	-0.727616	0.727616	0.928388	41	0.1	0.941176
MGYG000002561	S06	-0.147572	0.147572	0.658827	70	0.0027	0.875
MGYG000002580	S06	-0.408316	0.408316	0.567508	105	0.0213	0.5
MGYG000002589	S06	-0.383342	0.383342	0.627928	50	0.0246	0.519231
MGYG000002595	S06	-1.007306	1.007306	0.823544	48	0.1044	0.707143
MGYG000002617	S06	-0.09336	0.09336	0.37638	325	0.0015	0.333333
MGYG000002619	S06	-0.008916	0.008916	0.516685	389	0.0	0.6
MGYG000002621	S06	0.341981	-0.341981	0.692353	42	0.0346	0.866071
MGYG000002653	S06	0.327784	-0.327784	0.64765	51	0.0158	0.981752
MGYG000002675	S06	-1.416925	1.416925	1.060045	23	0.2568	0.833333
MGYG000002689	S06	-0.151134	0.151134	0.327637	329	0.0051	0.333333
MGYG000002691	S06	-0.20021	0.20021	0.367973	374	0.008	0.333333
MGYG000002704	S06	-0.021968	0.021968	0.415143	92	0.0001	0.5
MGYG000002710	S06	0.097004	-0.097004	0.235758	122	0.0019	0.0
MGYG000002711	S06	-0.073817	0.073817	0.223893	42	0.001	0.0
MGYG000002715	S06	0.011371	-0.011371	0.631926	1316	0.0	0.75
MGYG000002720	S06	0.431955	-0.431955	0.519672	136	0.0283	0.8
MGYG000002724	S06	-0.173855	0.173855	0.643566	123	0.0067	0.75
MGYG000002727	S06	0.175064	-0.175064	0.431844	45	0.0043	0.5
MGYG000002773	S06	-0.153163	0.153163	0.96995	141	0.0189	0.982456
MGYG000002779	S06	0.008028	-0.008028	0.160046	135	0.0	0.0
MGYG000002780	S06	-0.105468	0.105468	0.307818	238	0.0024	0.0
MGYG000002838	S06	-0.162976	0.162976	0.492134	51	0.0024	0.5
MGYG000002840	S06	-0.176393	0.176393	0.320033	64	0.0046	0.0
MGYG000002882	S06	-0.153745	0.153745	0.586671	107	0.004	0.666667
MGYG000002926	S06	0.00145	-0.00145	0.580197	495	0.0	0.7
MGYG000002933	S06	-0.124588	0.124588	0.807938	24	0.0028	0.924501
MGYG000002954	S06	-0.081732	0.081732	0.193543	50	0.0015	0.0
MGYG000002990	S06	-0.486506	0.486506	0.467221	97	0.0329	0.5
MGYG000003019	S06	0.316462	-0.316462	0.622689	50	0.0176	0.825758
MGYG000003097	S06	-0.354559	0.354559	0.879582	137	0.017	0.933333
MGYG000003166	S06	-0.061712	0.061712	0.621302	609	0.0006	0.75
MGYG000003224	S06	-0.157432	0.157432	0.235518	369	0.0059	0.0
MGYG000003279	S06	-0.139	0.139	0.559499	1810	0.0032	0.666667
MGYG000003383	S06	0.154268	-0.154268	0.641043	28	0.0047	0.792857
MGYG000003452	S06	-0.036483	0.036483	0.70092	490	0.0003	0.818182
MGYG000003508	S06	-0.458561	0.458561	0.554709	50	0.0403	0.5
MGYG000003552	S06	-0.175081	0.175081	0.632648	267	0.0064	0.714286
MGYG000003591	S06	-0.757865	0.757865	0.61643	28	0.098	0.5
MGYG000003656	S06	-0.032556	0.032556	0.330033	804	0.0002	0.333333
MGYG000003681	S06	-0.123062	0.123062	0.784047	1679	0.0034	0.882353
MGYG000003682	S06	0.076396	-0.076396	0.254168	512	0.0012	0.0
MGYG000003683	S06	0.177262	-0.177262	0.606032	157	0.0045	0.8
MGYG000003692	S06	0.001429	-0.001429	0.511152	1232	0.0	0.6
MGYG000003693	S06	0.090284	-0.090284	0.821855	1102	0.0025	0.948276
MGYG000003694	S06	-0.10805	0.10805	0.820363	951	0.0032	0.916667
MGYG000003695	S06	-0.203976	0.203976	0.367709	376	0.0074	0.225
MGYG000003701	S06	-1.03161	1.03161	0.880474	134	0.1384	0.75
MGYG000003844	S06	-0.300405	0.300405	0.312161	108	0.0203	0.0
MGYG000003868	S06	0.110828	-0.110828	0.462801	39	0.002	0.6
MGYG000003875	S06	-0.95867	0.95867	0.471789	55	0.1643	0.0
MGYG000003895	S06	0.292929	-0.292929	0.2069	128	0.0158	0.125
MGYG000003899	S06	-0.074077	0.074077	0.552242	918	0.001	0.666667
MGYG000003921	S06	-0.060011	0.060011	0.538386	185	0.0006	0.6
MGYG000003948	S06	0.021017	-0.021017	0.675801	31	0.0001	0.75
MGYG000003963	S06	-0.149792	0.149792	0.208198	59	0.0078	0.0
MGYG000004004	S06	0.086362	-0.086362	0.623413	129	0.0011	0.818182
MGYG000004006	S06	-0.33312	0.33312	0.685093	168	0.0186	0.75
MGYG000004016	S06	-0.356602	0.356602	0.275041	49	0.0271	0.0
MGYG000004019	S06	0.28736	-0.28736	0.643406	53	0.0127	0.882353
MGYG000004083	S06	0.274131	-0.274131	0.159017	283	0.0213	0.0
MGYG000004092	S06	0.158742	-0.158742	0.491621	27	0.0032	0.714286
MGYG000004114	S06	-0.557196	0.557196	0.513581	46	0.0376	0.5
MGYG000004116	S06	0.156175	-0.156175	0.169303	33	0.006	0.0
MGYG000004123	S06	-0.442306	0.442306	0.257008	92	0.0696	0.0
MGYG000004145	S06	0.07043	-0.07043	0.088172	71	0.002	0.0
MGYG000004165	S06	0.099751	-0.099751	0.590213	290	0.0017	0.75
MGYG000004172	S06	-0.071816	0.071816	0.750926	26	0.0012	0.833333
MGYG000004180	S06	0.068558	-0.068558	0.781158	305	0.0012	0.916667
MGYG000004185	S06	-0.097455	0.097455	0.587499	30	0.0013	0.683333
MGYG000004188	S06	-1.041013	1.041013	0.931372	49	0.1257	0.818182
MGYG000004194	S06	0.032249	-0.032249	0.170207	104	0.0003	0.0
MGYG000004196	S06	-0.103283	0.103283	0.579786	83	0.0019	0.666667
MGYG000004237	S06	-0.432807	0.432807	0.810172	37	0.0262	0.882353
MGYG000004248	S06	-0.074819	0.074819	0.220167	239	0.0013	0.0
MGYG000004262	S06	0.026652	-0.026652	0.546864	345	0.0001	0.666667
MGYG000004276	S06	0.01246	-0.01246	0.500292	878	0.0	0.6
MGYG000004341	S06	-0.225086	0.225086	0.227994	116	0.0147	0.0
MGYG000004350	S06	-0.014162	0.014162	0.926065	66	0.0001	0.977024
MGYG000004369	S06	-0.961932	0.961932	0.832046	31	0.2469	0.5
MGYG000004388	S06	-0.433929	0.433929	0.314055	67	0.0436	0.0
MGYG000004403	S06	-0.533926	0.533926	0.97676	58	0.0873	0.950194
MGYG000004412	S06	-0.161117	0.161117	0.610766	65	0.0034	0.714286
MGYG000004435	S06	-0.039178	0.039178	0.534103	70	0.0003	0.5
MGYG000004438	S06	-0.576839	0.576839	0.624381	45	0.0532	0.5
MGYG000004456	S06	0.052374	-0.052374	0.772602	515	0.0004	0.982196
MGYG000004482	S06	0.059228	-0.059228	0.595104	322	0.0005	0.75
MGYG000004487	S06	0.008052	-0.008052	0.685574	129	0.0	0.8
MGYG000004525	S06	-0.104144	0.104144	0.690753	74	0.0021	0.809091
MGYG000004526	S06	-0.013559	0.013559	0.469336	917	0.0	0.5
MGYG000004536	S06	0.099627	-0.099627	0.670019	74	0.002	0.816667
MGYG000004582	S06	-0.195373	0.195373	0.383926	232	0.0082	0.333333
MGYG000004654	S06	0.032001	-0.032001	0.165066	123	0.0003	0.0
MGYG000004726	S06	-1.024854	1.024854	0.765141	84	0.111	0.738636
MGYG000004740	S06	-0.627185	0.627185	0.467048	217	0.0609	0.0
MGYG000004748	S06	-0.400594	0.400594	0.790494	66	0.0239	0.839744
MGYG000004756	S06	0.091182	-0.091182	0.569239	89	0.0014	0.8
MGYG000004763	S06	-0.427456	0.427456	0.702231	30	0.0209	0.857143
MGYG000004769	S06	0.059025	-0.059025	0.409638	600	0.0006	0.5
MGYG000004784	S06	-0.338809	0.338809	0.478744	186	0.0199	0.5
MGYG000004848	S06	-0.304646	0.304646	0.827179	255	0.0177	0.882353
MGYG000004866	S06	0.108876	-0.108876	0.424445	124	0.0016	0.5
MGYG000004876	S06	-0.459679	0.459679	0.685236	101	0.026	0.75
MGYG000004880	S06	-0.430551	0.430551	0.82069	22	0.0606	0.816667
MGYG000004899	S06	0.334839	-0.334839	0.547184	61	0.0171	0.785714
MGYG000000002	S07	-0.216743	0.216743	0.518133	563	0.009	0.5
MGYG000000003	S07	-0.08073	0.08073	0.737969	2506	0.0013	0.857143
MGYG000000004	S07	-0.502529	0.502529	0.482627	197	0.0264	0.0
MGYG000000013	S07	0.070125	-0.070125	0.610268	641	0.0008	0.769231
MGYG000000022	S07	-0.087726	0.087726	0.670668	1106	0.0013	0.8
MGYG000000029	S07	-0.131833	0.131833	0.744299	293	0.0038	0.863636
MGYG000000031	S07	-0.226182	0.226182	0.496284	193	0.0068	0.5
MGYG000000033	S07	0.041806	-0.041806	0.575046	728	0.0004	0.666667
MGYG000000034	S07	-0.157511	0.157511	0.230058	97	0.0058	0.0
MGYG000000038	S07	0.090211	-0.090211	0.72403	618	0.0021	0.875
MGYG000000039	S07	0.014108	-0.014108	0.753505	633	0.0	0.916667
MGYG000000040	S07	-0.647557	0.647557	0.465817	61	0.0399	0.0
MGYG000000041	S07	0.034975	-0.034975	0.872101	1226	0.0007	0.962963
MGYG000000045	S07	0.154663	-0.154663	0.514372	85	0.0054	0.636364
MGYG000000053	S07	-0.352643	0.352643	0.747584	100	0.0175	0.833333
MGYG000000059	S07	0.129015	-0.129015	0.413597	379	0.0029	0.5
MGYG000000060	S07	0.026741	-0.026741	0.81568	334	0.0002	0.934058
MGYG000000067	S07	-0.421461	0.421461	0.740583	83	0.0233	0.833333
MGYG000000068	S07	0.163289	-0.163289	0.173465	341	0.0057	0.0
MGYG000000069	S07	0.045448	-0.045448	0.199613	197	0.0005	0.0
MGYG000000070	S07	-0.469991	0.469991	0.650285	467	0.0246	0.666667
MGYG000000071	S07	-0.523344	0.523344	0.552915	146	0.0466	0.5
MGYG000000073	S07	-0.263936	0.263936	0.227191	66	0.0119	0.0
MGYG000000077	S07	-0.009768	0.009768	0.412589	322	0.0	0.5
MGYG000000078	S07	-0.102938	0.102938	0.922428	390	0.0063	0.974026
MGYG000000084	S07	-0.178802	0.178802	0.480858	479	0.0054	0.5
MGYG000000099	S07	0.210331	-0.210331	0.523647	847	0.0076	0.7
MGYG000000105	S07	-0.037405	0.037405	0.724431	314	0.0003	0.865152
MGYG000000113	S07	-0.035139	0.035139	0.190112	94	0.0003	0.0
MGYG000000128	S07	-0.288899	0.288899	0.80621	257	0.0183	0.888889
MGYG000000131	S07	0.068836	-0.068836	0.184546	347	0.0013	0.0
MGYG000000137	S07	0.33274	-0.33274	0.212016	359	0.0182	0.0
MGYG000000138	S07	-0.022784	0.022784	0.761956	705	0.0001	0.9
MGYG000000139	S07	-0.266862	0.266862	0.900637	289	0.0222	0.941176
MGYG000000140	S07	-0.268243	0.268243	0.619771	903	0.0124	0.666667
MGYG000000141	S07	0.027045	-0.027045	0.550742	570	0.0001	0.666667
MGYG000000146	S07	-0.250827	0.250827	0.507511	410	0.0101	0.5
MGYG000000148	S07	-0.296174	0.296174	0.743266	37	0.0253	0.75
MGYG000000153	S07	-0.774324	0.774324	0.98178	65	0.1004	0.933333
MGYG000000154	S07	-0.10752	0.10752	0.62361	392	0.0022	0.666667
MGYG000000159	S07	-0.240389	0.240389	0.296437	151	0.0113	0.0
MGYG000000164	S07	-0.368678	0.368678	0.574442	166	0.0196	0.5
MGYG000000168	S07	0.079512	-0.079512	0.717966	132	0.0013	0.9
MGYG000000170	S07	-0.253236	0.253236	0.601457	1584	0.0112	0.666667
MGYG000000172	S07	-0.08237	0.08237	0.234122	219	0.0018	0.0
MGYG000000174	S07	0.376997	-0.376997	0.526329	179	0.0294	0.727273
MGYG000000177	S07	-0.01041	0.01041	0.71094	932	0.0	0.833333
MGYG000000178	S07	-0.145725	0.145725	0.562411	108	0.0018	0.6
MGYG000000179	S07	0.012237	-0.012237	0.240961	109	0.0	0.0
MGYG000000183	S07	0.184037	-0.184037	0.706799	418	0.0087	0.872984
MGYG000000184	S07	-0.308789	0.308789	0.709691	161	0.0169	0.75
MGYG000000190	S07	-0.001979	0.001979	0.899364	1388	0.0	0.977695
MGYG000000194	S07	0.240959	-0.240959	0.425843	708	0.0096	0.5
MGYG000000195	S07	-0.023596	0.023596	0.84143	1911	0.0002	0.954545
MGYG000000196	S07	-0.03605	0.03605	0.789605	2160	0.0003	0.9
MGYG000000198	S07	0.413072	-0.413072	0.230548	229	0.0286	0.333333
MGYG000000200	S07	-0.279099	0.279099	0.568388	538	0.0124	0.5
MGYG000000201	S07	-0.576481	0.576481	0.537479	294	0.045	0.5
MGYG000000203	S07	-0.023381	0.023381	0.763271	922	0.0001	0.875
MGYG000000205	S07	0.102859	-0.102859	0.634134	1046	0.0022	0.781746
MGYG000000206	S07	-0.390366	0.390366	0.730494	77	0.0271	0.75
MGYG000000208	S07	0.070603	-0.070603	0.772624	231	0.0012	0.923077
MGYG000000209	S07	-0.147068	0.147068	0.654502	680	0.0045	0.75
MGYG000000211	S07	0.039989	-0.039989	0.558978	1018	0.0003	0.666667
MGYG000000217	S07	-0.096253	0.096253	0.853805	1134	0.003	0.944825
MGYG000000222	S07	0.275591	-0.275591	0.620157	48	0.0092	0.875
MGYG000000224	S07	-0.189114	0.189114	0.817654	180	0.0079	0.933259
MGYG000000225	S07	0.042247	-0.042247	0.751493	1940	0.0004	0.9
MGYG000000229	S07	-0.03063	0.03063	0.406107	371	0.0001	0.5
MGYG000000233	S07	0.098058	-0.098058	0.563414	840	0.0017	0.666667
MGYG000000236	S07	-0.077069	0.077069	0.653324	162	0.001	0.833333
MGYG000000242	S07	-0.31523	0.31523	0.568387	462	0.0177	0.5
MGYG000000243	S07	0.02521	-0.02521	0.92839	1407	0.0005	0.984043
MGYG000000245	S07	-0.017032	0.017032	0.860665	385	0.0001	0.967742
MGYG000000249	S07	-0.112884	0.112884	0.492938	145	0.0015	0.5
MGYG000000250	S07	-0.448509	0.448509	0.640734	566	0.0352	0.666667
MGYG000000252	S07	-0.568272	0.568272	0.500724	289	0.0521	0.333333
MGYG000000254	S07	-0.135292	0.135292	0.801797	1513	0.0044	0.888889
MGYG000000255	S07	0.160224	-0.160224	0.586692	641	0.0045	0.75
MGYG000000259	S07	-0.192901	0.192901	0.462171	442	0.0058	0.5
MGYG000000263	S07	-0.194944	0.194944	0.334515	248	0.007	0.0
MGYG000000265	S07	0.012577	-0.012577	0.753649	1249	0.0	0.875
MGYG000000273	S07	0.014753	-0.014753	0.332427	377	0.0	0.0
MGYG000000280	S07	-0.02879	0.02879	0.447398	590	0.0002	0.5
MGYG000000282	S07	0.707051	-0.707051	0.524208	50	0.0404	0.909091
MGYG000000325	S07	-0.00431	0.00431	0.313305	129	0.0	0.0
MGYG000000343	S07	-1.723491	1.723491	0.943916	66	0.1632	0.873016
MGYG000000356	S07	-0.4871	0.4871	0.670246	44	0.0195	0.6
MGYG000000362	S07	-0.014133	0.014133	0.775621	1249	0.0	0.902439
MGYG000000370	S07	-0.043451	0.043451	0.402124	215	0.0004	0.5
MGYG000000378	S07	0.161156	-0.161156	0.111373	78	0.0061	0.0
MGYG000000389	S07	0.304658	-0.304658	0.675824	30	0.0115	0.939239
MGYG000000414	S07	-0.169699	0.169699	0.7192	32	0.003	0.81746
MGYG000000487	S07	-0.59723	0.59723	0.912025	139	0.0808	0.902439
MGYG000000515	S07	-0.504357	0.504357	0.766594	35	0.0301	0.87234
MGYG000000534	S07	-0.603191	0.603191	0.648298	20	0.0411	0.5
MGYG000000543	S07	-0.18389	0.18389	0.926045	45	0.0172	0.96
MGYG000000561	S07	0.077377	-0.077377	0.744303	73	0.0011	0.925926
MGYG000000616	S07	-0.265751	0.265751	0.2749	153	0.0191	0.0
MGYG000000631	S07	-0.046719	0.046719	0.68761	21	0.0003	0.90625
MGYG000000636	S07	-0.978509	0.978509	0.826634	40	0.1664	0.821429
MGYG000000652	S07	-0.184546	0.184546	0.792639	62	0.0055	0.957442
MGYG000000695	S07	0.058313	-0.058313	0.541129	105	0.0004	0.666667
MGYG000000696	S07	-0.428752	0.428752	0.804006	38	0.0383	0.897368
MGYG000000703	S07	-0.470626	0.470626	0.717578	75	0.036	0.714286
MGYG000000715	S07	-0.202168	0.202168	0.515355	45	0.0047	0.5
MGYG000000717	S07	0.453205	-0.453205	0.580619	49	0.0322	0.869565
MGYG000000723	S07	-0.136886	0.136886	0.188605	156	0.0048	0.0
MGYG000000741	S07	0.519334	-0.519334	0.289906	106	0.0465	0.5
MGYG000000753	S07	0.03426	-0.03426	0.575642	121	0.0002	0.714286
MGYG000000788	S07	0.122687	-0.122687	0.641915	49	0.0026	0.8
MGYG000000823	S07	0.049093	-0.049093	0.534674	108	0.0004	0.666667
MGYG000000839	S07	-0.369019	0.369019	0.768441	52	0.0279	0.763889
MGYG000000841	S07	-0.290591	0.290591	0.584231	99	0.0109	0.666667
MGYG000000864	S07	-0.515367	0.515367	0.739878	23	0.0278	0.75
MGYG000000884	S07	-0.175976	0.175976	0.603798	690	0.0053	0.666667
MGYG000000910	S07	0.086005	-0.086005	0.245086	96	0.0015	0.0
MGYG000001029	S07	0.053322	-0.053322	0.831965	563	0.0008	0.968
MGYG000001109	S07	-0.104076	0.104076	0.275506	186	0.0021	0.0
MGYG000001120	S07	1.494118	-1.494118	0.063111	34	0.1363	0.583333
MGYG000001160	S07	-0.123693	0.123693	0.182328	88	0.0043	0.0
MGYG000001178	S07	-0.387891	0.387891	0.416154	75	0.0279	0.333333
MGYG000001189	S07	0.500975	-0.500975	0.440759	55	0.0376	0.6
MGYG000001255	S07	-0.06279	0.06279	0.762958	447	0.0007	0.9
MGYG000001294	S07	-0.110297	0.110297	0.425943	745	0.002	0.5
MGYG000001310	S07	-0.089586	0.089586	0.803768	86	0.0016	0.971212
MGYG000001313	S07	-0.143284	0.143284	0.766945	1473	0.0049	0.866667
MGYG000001315	S07	-0.0344	0.0344	0.387517	434	0.0002	0.5
