sample-id	S_8123220	S_0313206	S_8123213	S_1411224	S_1313229	S_8123225	S_1413229	S_8123218	S_8221232	S_1413216	S_1413230	S_0313216	S_8221227	S_1211212	S_1313218	S_1313221	S_1313202	S_8123214	S_8123227	S_0313222	S_1213209	S_0313218	S_8221222	S_1213218	S_1211209	S_1213211	S_1313223	S_1413233	S_1413221	S_8221213	S_8222219	S_8123226	S_1413231	S_1311202	S_8123202	S_0313207	S_8221231	S_1212203
s__Tannerella_sp003033925	473985	95923	590388	523697	290821	1331265	214268	220598	1838372	56770	381057	668160	149890	590374	387669	291355	390981	941806	470012	51211	674313	249044	360818	378893	377597	1593457	377841	106182	892188	187738	815769	252556	190899	1149432	188341	159542	113685	1630579
s__UBA3663_sp900319235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Cecembia_lonarensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Pseudarcicella_hirudinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9957	0	0
s__Capnocytophaga_endodontalis	333458	154871	178478	730190	138606	932801	122743	163255	1100076	167504	189135	715400	218338	437710	396114	252106	194725	201897	328672	482026	774834	97946	350348	209968	621795	357738	149592	116663	338311	210950	374551	218531	195639	324997	81990	283270	256098	310219
s__Capnocytophaga_gingivalis	507414	2569636	236366	2226490	373192	1914505	712118	170796	1549980	1032960	889913	531434	452143	981511	2257509	239617	39310	687259	133916	1524539	1875759	94044	360013	158481	267045	2433026	233097	1283479	442412	1537775	868396	178730	121996	1680432	118746	1241102	586651	2688548
s__Capnocytophaga_granulosa	546353	325857	754343	513432	224743	533653	304085	262762	4226975	127859	494277	236347	198419	251950	855743	164254	109698	137002	265824	174787	290830	159725	274697	117447	221750	1250122	295525	316720	230141	193562	688523	101598	201218	472538	36240	196250	509723	746875
s__Capnocytophaga_haemolytica	94563	0	0	19072	217133	208404	0	0	173423	0	0	11446	0	0	94188	0	0	464314	0	0	0	28513	0	0	92553	144869	0	0	105824	0	0	20619	0	0	19421	0	0	108777
s__Capnocytophaga_leadbetteri	403753	3130640	646907	1661835	607358	981194	665909	883294	4384091	829818	1396585	785433	379909	1309638	3661527	789707	144932	505241	588277	2368309	908182	264012	313055	293399	769908	1660516	338119	1746316	548024	553672	1572708	353442	383346	2120886	600763	924119	314703	4257429
s__Capnocytophaga_ochracea	627528	182070	451023	783115	572437	481960	236905	151246	1145840	361576	249216	584201	540855	1115417	512499	972954	119964	305177	482531	133598	985128	83939	804165	702440	567795	897119	212335	211670	520696	242646	656658	356873	853691	520987	236850	185446	271841	513795
s__Capnocytophaga_sp000192225	79437	0	24024	160145	20913	0	53805	0	138193	25131	24809	42372	97458	79088	78056	0	23206	62396	0	94821	34514	0	153701	0	144242	0	0	32304	71262	39648	0	43239	118439	0	18721	77034	207051	0
s__Capnocytophaga_sp000318275	27848	758563	63764	258208	160879	0	225928	367918	385848	8621	1616386	15362	132437	80892	403874	146687	173321	33660	408787	355942	76832	169992	141376	0	602942	213886	730697	345287	244347	64778	159304	144822	195761	666866	111398	16629	0	1537498
s__Capnocytophaga_sp000466425	51489	121456	57558	276737	75846	236537	77451	312285	475532	34543	1134340	66972	290577	192053	648805	103684	25107	21402	227552	476991	294402	80038	115101	38163	1207367	219918	83321	297062	57330	79696	123134	42839	141614	631135	0	78938	66406	706457
s__Capnocytophaga_sp002999135	44577	12503	18118	51394	19112	0	0	32669	33741	0	29711	17973	25568	30172	25651	0	0	0	0	53812	16907	0	0	0	19654	0	0	6981	8349	25030	0	0	0	16614	0	21337	0	18217
s__Capnocytophaga_sputigena	1433952	836483	629773	2124243	1107317	1331438	346092	712395	1657232	961013	724969	2860654	945817	1077801	1618532	240386	703667	794823	888563	1720745	5226929	222908	658859	717342	1375734	2420791	623452	766628	559573	1624759	2228725	323692	352189	2713765	383701	1772493	1289087	3143630
s__Flavobacterium_collinsii_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7709	0	0	0	0	0	0	0	0
s__Bergeyella_A_cardium	0	0	21221	0	0	0	0	0	14518	0	0	0	0	22754	181251	0	10903	0	139217	25206	0	0	0	0	0	0	0	0	44702	0	0	0	0	0	0	0	0	0
s__JABCPE02_sp013333255	101787	2434250	813849	697004	828206	737705	566576	404252	773115	469765	509323	1516703	288122	690080	1711426	458235	173930	866761	348739	867397	1216465	413965	422225	196162	555204	646965	201774	1279744	397745	253435	967919	146972	164885	648386	1301136	877262	500030	1194714
s__JABCPE02_sp013333875	51188	506041	794679	418532	261640	0	82761	189747	254486	100293	278506	437773	313283	155757	683781	202315	86623	124895	198415	166559	97241	144059	362274	113781	313948	788565	94424	290819	150490	339904	82605	171722	194107	506640	236664	308362	224977	640280
s__Sphingobacterium_sp002354335	0	0	0	0	0	0	0	0	5477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Sphingobacterium_sp002454415	0	0	0	0	0	0	0	0	27734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Campylobacter_A_concisus_A	0	103709	9920	0	185555	0	0	0	164663	186059	0	0	0	116724	156161	0	17104	77568	54217	0	201726	50124	0	313694	0	0	306107	43905	0	176298	84808	205015	0	182516	169913	12923	123449	0
s__Campylobacter_A_concisus_C	145804	1405695	1861637	0	2219766	1488130	0	961499	1252745	634494	137808	75306	1239276	1491432	592104	303419	1173256	2169847	774292	287067	1883136	385730	402048	909848	0	0	195234	623594	212187	1226089	1893831	639052	323814	2760678	1331913	1003181	2099639	1151092
s__Campylobacter_A_concisus_D	0	0	0	0	0	0	0	0	0	0	0	0	0	108310	0	0	0	0	80072	69015	240259	0	0	0	0	0	0	92111	0	0	409555	0	0	0	216182	0	0	0
s__Campylobacter_A_concisus_F	1839954	478618	351120	214648	887215	826368	210668	730249	738606	0	98538	102081	366122	1041207	324263	0	1326698	576967	388098	200998	706691	357528	301385	413541	0	2076714	415176	149314	228058	159392	5002547	605454	195506	578962	1542557	1530063	138441	321827
s__Campylobacter_A_concisus_I	280564	95623	34034	481421	45428	0	0	0	201428	0	60023	0	127152	230427	152421	0	0	0	298133	0	0	88942	0	0	155873	0	0	0	0	104051	0	0	0	0	0	0	0	0
s__Campylobacter_A_concisus_J	0	0	0	0	0	0	0	0	110504	0	0	0	0	0	0	0	0	0	0	0	0	112574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Campylobacter_A_concisus_L	216795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103008	0	0	0	0	0
s__Campylobacter_A_concisus_R	788200	0	554628	360634	338403	0	0	145187	813659	365933	134991	0	132525	3070000	208164	0	52014	0	638781	258361	940667	773238	75904	492106	209701	506355	134471	345475	233406	200812	2202675	315018	0	525668	588923	306836	0	0
s__Campylobacter_A_concisus_T	1023148	621707	1109944	435410	1287000	1405029	273351	324410	1972590	555263	259488	614557	1229191	2197930	997255	702656	1212414	1491334	1252307	639763	2366580	1439523	955428	438191	169397	1977765	531673	1110651	387726	1104147	2934441	662816	173260	1648126	1947567	1288133	625380	898876
s__Campylobacter_A_concisus_Z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Campylobacter_A_curvus	6241	0	19019	17466	10706	0	32964	11624	8010	0	0	29018	9896	11928	18938	0	0	33961	67345	0	0	3982	20509	0	0	0	0	0	14232	3845	0	0	0	0	0	4738	0	0
s__Campylobacter_A_rectus	17230	8542	14415	25296	7975	169796	663177	627559	77194	7579	13205	17471	10528	55432	15431	0	4251	0	163286	8492	28112	4622	26642	136749	213225	241529	26307	21903	103330	5587	25833	104505	87281	16113	77385	22740	0	193429
s__Campylobacter_A_showae	21938	9462	18419	0	8395	0	48294	65237	83301	8521	8353	0	0	40697	35371	0	0	0	18740	12203	0	15107	0	0	11933	140093	0	0	17440	0	0	22921	0	23319	0	10218	0	261050
s__Campylobacter_A_showae_A	0	8732	14314	0	16210	477636	54606	137918	255964	8330	11504	0	22359	51322	418289	0	0	0	26056	7002	87837	37017	0	42771	25971	0	0	0	277576	18723	84007	0	19240	0	29132	88855	0	114599
s__Campylobacter_A_showae_B	0	0	0	0	0	0	0	0	57970	0	7883	0	21457	17441	35371	0	0	0	13830	5641	0	0	0	0	0	104978	0	0	0	0	0	0	0	0	0	0	0	129766
s__Campylobacter_A_showae_D	0	12403	0	0	12408	59603	30159	0	50061	10413	17207	0	0	18845	18437	0	8882	0	14631	7552	21909	5102	0	0	25068	0	0	0	0	21125	0	0	0	29324	0	12722	0	126117
s__Campylobacter_A_showae_E	0	7012	0	0	17811	0	0	48903	74991	0	13205	0	16444	26864	35671	0	0	0	16636	11703	13606	9534	0	0	22862	43647	0	0	21148	14117	0	0	0	19216	0	10118	0	157804
s__Campylobacter_A_sp014253065	22639	6602	13614	0	0	0	25550	25554	41951	0	12805	0	0	14234	17435	0	0	0	23250	14003	0	0	0	0	19754	128770	0	0	21749	0	0	0	0	41034	0	9056	0	117981
s__Campylobacter_B_gracilis	58802	0	22923	79601	8725	0	18436	0	181745	20225	6452	29821	6978	64754	12725	36087	7892	38382	37681	9512	0	13506	64342	74724	77010	31634	10503	5211	44702	12515	0	10910	35474	87072	9520	19835	0	11210
s__Campylobacter_B_sp900539505	64111	0	26527	60027	14109	0	0	22547	194884	30838	7263	57634	10628	76381	26353	25361	7872	32354	36078	7742	0	12106	64543	130152	129660	66171	11303	5721	40993	17121	23029	13612	33971	92876	7008	16328	27243	15014
s__Campylobacter_D_hepaticus	0	0	0	0	0	0	0	0	0	0	0	0	1821348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371215	0	0	0	0	0	0	682031	0
s__Chlamydophila_abortus	0	0	0	0	0	0	0	0	207151	485210	58022	1497842	29664159	99737	232885	0	0	261211	0	0	0	0	181048	0	0	0	0	232807	0	3408674	0	0	0	0	0	0	6291432	0
s__Chlamydophila_avium	0	0	0	0	0	0	0	0	0	0	0	45183	1113151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287002	0	0	0	0	0	0	348592	0
s__Chlamydophila_ibidis	0	0	0	0	0	0	0	0	0	0	0	0	1497185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261649	0	0	0	0	0	0	423103	0
s__T78_sp002409625	0	0	0	0	0	0	0	0	0	0	0	0	0	5854	0	0	0	0	0	0	7843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__T78_sp002411175	0	3701	0	0	0	0	10120	0	0	0	0	0	0	33379	0	0	0	0	0	35208	29512	0	0	0	0	3554	3411	8061	13330	0	0	0	0	0	0	0	0	0
s__Aliterella_atlantica	0	0	0	2871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Chroococcidiopsis_thermalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21823	0	0	0	0	0	0	0	0	0	0	0	0
s__Cuspidothrix_issatschenkoi	0	0	0	0	0	0	0	0	0	0	0	44882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Calidithermus_chliarophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Geobacillus_thermoleovorans	0	0	0	0	0	0	0	0	0	33542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367229	0	0	0	0	0	0	0	0	0	286428	0	0
s__Bacillus_A_bombysepticus	0	0	0	0	0	0	0	0	0	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Kurthia_gibsonii	0	0	0	0	0	0	0	0	7429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Solibacillus_silvestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Brevibacillus_agri	0	0	0	2610	0	0	0	0	0	1111	0	2390	0	0	0	0	0	0	0	0	0	0	0	0	0	8489	0	0	0	0	0	0	0	0	0	12121	0	0
s__Brevibacillus_parabrevis	0	0	0	21180	0	0	0	0	0	795	1441	7912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5176	0	0	10422	0	0	3917	0	0
s__Brevibacillus_D_fluminis	0	0	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6341	0	0
s__Bulleidia_extructa	0	0	0	0	0	0	0	0	0	0	0	0	0	349031	0	0	19105	0	0	0	0	0	0	0	0	0	0	0	0	0	86009	0	0	0	42547	25444	0	0
s__Bulleidia_moorei	52891	353612	862135	487166	509200	383914	190925	595641	341709	110757	1746647	252935	186058	889818	522148	382904	853976	734538	986515	263566	201671	636404	372768	254866	155850	324526	301789	436077	478051	276497	374066	649440	160989	196633	301983	698955	380262	441642
s__Bulleidia_sp900554555	265509	711994	1286220	159010	866318	339650	170648	747754	617142	188849	10927140	0	225436	1948831	695132	356962	3459297	401564	1327311	449656	637264	1335922	296272	614377	0	192831	716359	695069	1157099	1124368	713365	2836958	194966	837646	853755	554755	1930290	65761
s__Abiotrophia_defectiva	1568242	1682105	13614	4306230	3478650	668071	975480	3344048	1852018	2925784	2980156	7685946	590799	2603027	5408011	12172219	1877998	405699	1084404	1049578	22309	315186	3580615	7119969	6605337	886963	6877633	181854	1402876	829185	288522	3178514	2955835	1338606	145420	2873410	3221376	4387608
s__Abiotrophia_sp001815865	2579145	2991756	56457	6671474	3823387	2037474	1019278	3872368	3010641	5103843	4308900	6865158	977584	2584929	12986552	29629177	2063665	1134811	1579697	1820094	38216	597627	7760188	4683435	6025837	822087	5239412	205937	2232955	1409775	121917	4224226	3607924	1524300	302847	4832767	4282027	4131263
s__Granulicatella_adiacens	6543323	2018917	3851892	5668239	2659488	624569	2120331	4184673	6011235	2816176	4605124	2434074	1839519	2179926	4877092	2973319	1689194	1709474	2516833	2408761	300118	866883	1740295	3014103	3099417	1636599	1570735	800967	1914489	1103711	487315	7702195	2150905	4825845	800509	4584048	1911139	1565698
s__Granulicatella_balaenopterae	0	0	0	0	0	0	0	0	0	94117	0	0	0	52525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Granulicatella_elegans	353202	1253436	156146	755586	2430055	1796720	6601747	2603532	257801	3480014	9218701	2755391	7630031	3327692	370455	1866995	589270	708417	4079240	618527	59425	2217894	1764921	2439552	2785791	6342943	758802	760206	2173881	4481016	128947	875448	6363390	1266477	3891903	1977169	1224061	6319129
s__Granulicatella_sp001058355	5121656	3965666	6326056	2486992	5617387	2716569	3170247	5171255	2926619	3303954	3128467	5239229	1378290	7858675	4746527	3250519	1993441	3613814	5490034	6291851	3903570	4694061	6765006	6278761	3062965	3480981	5678610	2716335	2212029	3900261	12377347	5492927	2527325	3730333	7030034	4700109	4109762	1711353
s__Granulicatella_sp001071995	2465668	2786727	2128749	749037	2345786	1241266	1561349	1473835	917305	1491020	1205292	1858441	1283696	2827644	2104790	1559828	776301	1077343	1804191	2857001	2139526	1757990	2746709	2566775	2169414	987967	3245190	1351257	976107	1370834	3923690	3799854	1080901	2142550	2937972	2687907	1047459	1052249
s__Granulicatella_sp900551535	4673781	2181009	4533606	1716153	2668821	736480	1523613	3953025	941120	2639525	2050618	3011509	702393	4430143	2787985	1805147	1064037	1206239	3756095	3191980	2402564	1443775	3603417	5261921	1663163	1778386	2578719	1479740	1517462	2309430	9002839	4128683	764200	1536777	4583952	2811150	3120309	1569324
s__Dolosigranulum_pigrum	12121	0	63264	0	0	0	51100	0	0	943276	0	37050	0	0	0	0	0	0	0	0	0	0	38505	0	0	0	0	0	0	207095	0	0	0	0	0	0	0	15714
s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	20124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Enterococcus_A_gilvus	0	0	0	0	0	0	0	0	4856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Enterococcus_D_casseliflavus	0	0	0	0	0	0	0	0	40549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Fructilactobacillus_sanfranciscensis	0	0	0	0	0	0	0	7572566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lacticaseibacillus_paracasei	0	0	0	9797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29749	0	0	0	0	0	0	0	0	0	0	5786	0	0	0
s__Lacticaseibacillus_rhamnosus	8354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6463	0	0	0	0	0	0	0	10613	0	0	0	0	0	0	0	0
s__Lactobacillus_crispatus	0	0	0	0	0	0	0	0	0	0	0	45685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Lactobacillus_paragasseri	388820	0	0	0	0	0	0	0	0	0	0	126619	0	0	0	0	0	58779	156343	0	0	287813	0	0	28578	0	0	0	0	162875	0	0	46897	0	0	0	0	285971
s__Leuconostoc_citreum	0	0	0	0	0	0	0	176553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Leuconostoc_pseudomesenteroides	0	0	0	0	0	0	0	0	59272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Ligilactobacillus_salivarius	1025790	0	0	0	0	0	0	0	52364	0	0	142314	0	0	0	1386368	0	0	838611	0	0	175445	0	857653	229369	0	0	0	0	0	0	0	113800	0	0	0	0	34031
s__Limosilactobacillus_fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343783	0	0	0	0	234344	0	0	0	0	0	87005	0	0	0	0	92602	0	0	0
s__Limosilactobacillus_mucosae	73928	0	5756	0	0	0	0	13328	0	0	0	37552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Limosilactobacillus_oris	174145	0	0	14455	0	0	0	0	0	0	0	9729	0	0	0	0	0	0	103054	0	0	49523	0	0	0	0	0	0	0	26031	0	0	25854	0	0	0	0	15014
s__Limosilactobacillus_vaginalis	0	0	0	0	0	0	0	0	0	0	0	78519	0	0	21944	0	0	0	0	0	0	40019	0	0	38806	0	0	0	0	11414	0	0	29361	0	0	0	0	39236
s__Limosilactobacillus_vaginalis_A	95765	0	106895	105540	0	0	0	0	0	0	9904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Schleiferilactobacillus_harbinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11314	0	0	0	0	0	0	0	0
s__Lactococcus_A_raffinolactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptococcus_agalactiae	0	0	0	0	81550	0	0	0	0	0	0	0	0	0	178087	0	0	0	39585	36808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71525	0	0
s__Streptococcus_anginosus	224699	0	183033	84318	0	0	0	0	0	51964	0	86551	102027	348785	113315	599663	0	0	393725	0	0	0	1442932	0	253093	0	164699	0	127447	299704	0	50245	327373	0	0	0	0	139648
s__Streptococcus_anginosus_C	0	54713	54855	0	0	0	170786	1124064	0	0	30011	103154	668872	0	264485	186106	0	116875	161833	0	0	0	174636	0	374390	0	130905	28303	195908	0	0	0	0	0	0	0	286707	0
s__Streptococcus_australis	379196	1241476	297326	265672	2147664	1092746	1819260	358660	122946	1548810	796885	831553	84123	999895	356098	1039989	368702	736420	692566	223520	381296	137410	77512	1058794	268397	532798	124284	460308	338959	313381	1144699	207586	444414	525502	160028	3260608	1002378	660985
s__Streptococcus_australis_A	267212	0	79180	764871	753445	531238	1024207	1243748	805980	0	289458	200124	353563	536968	1876227	676878	61916	729335	924857	0	0	182567	412724	0	201418	0	368373	303449	462430	315282	0	179529	342346	551741	116246	0	0	0
s__Streptococcus_chosunense	1655006	609639	2652890	2394827	2592060	1393485	7638516	770637	2261736	4406713	884771	555634	1199367	1026636	2841769	3939883	742039	3378385	5812028	5065165	993679	264459	2349403	0	3480506	0	0	439253	6984896	3669505	0	803765	3958936	0	2827059	4700265	0	400999
s__Streptococcus_constellatus	0	0	98700	902636	66741	0	927872	917296	0	427323	89434	228418	217246	163078	64429	0	0	139847	1189300	0	0	208843	202737	477803	360998	0	85922	0	537284	112680	0	101503	576583	145440	304420	0	0	0
s__Streptococcus_cristatus	21374883	1290403	1603303	6023099	4096780	6828931	1510496	2801474	5594051	3460394	1677766	6981464	347903	1351774	2897028	1286889	2411853	5095803	1697927	621765	608665	2132703	1547608	2854959	12751685	319636	873287	467050	2755000	615580	2513881	1041731	2106457	2891813	2114649	1415078	1750858	1413063
s__Streptococcus_cristatus_A	181753	108587	0	284522	84651	0	0	0	79697	71188	100044	249828	0	236709	120833	0	61716	204452	193171	0	0	101544	174922	0	636275	0	0	0	53822	0	0	0	65436	0	102552	0	0	304278
s__Streptococcus_cristatus_B	103642	0	357188	942844	762149	1287848	0	0	297335	0	181141	557522	55948	176253	214686	403864	230437	157889	230345	28206	67428	281687	0	0	1717354	0	993816	0	0	348889	930478	50045	0	0	438235	285443	0	517292
s__Streptococcus_cristatus_C	5407049	335502	911239	1877314	1165156	383159	480049	830136	1370525	822885	1435243	2682549	274444	1470125	936175	593903	781270	1817644	2369940	300865	128907	573293	515625	416037	4637540	0	225671	92511	454666	382973	1346081	381693	728944	1304090	1232746	600802	358776	825932
s__Streptococcus_cristatus_D	1855054	121889	0	284018	0	0	0	0	145714	0	82431	421437	0	86906	171476	0	109973	580723	204702	0	0	278911	0	0	499166	0	0	0	0	0	1610684	0	0	0	0	178083	0	0
s__Streptococcus_cristatus_E	602607	0	583312	0	437621	0	0	0	124012	0	30812	472416	0	167784	89879	195510	488227	447177	239582	0	0	194333	0	0	1239935	0	0	0	0	0	423427	120120	0	0	366606	0	0	0
s__Streptococcus_cristatus_F	1165710	691434	0	0	306007	0	261946	580755	80998	930979	213901	778262	0	684829	352805	473179	182337	0	245572	0	0	139475	434073	0	1644304	0	0	0	0	101305	0	0	296300	451944	229368	381754	0	0
s__Streptococcus_cristatus_G	83444	47611	28228	202679	208557	0	0	0	58972	0	63724	259239	0	362478	0	0	256119	0	0	0	0	94845	0	0	596278	0	0	0	0	0	0	0	0	0	114541	0	0	0
s__Streptococcus_dentisani	1225896	247633	11978696	1469584	604506	5400045	0	748577	3188785	1441579	1068861	1141239	383192	551710	3430301	0	62917	579484	300900	444344	0	2390909	434658	0	3219388	2678068	308689	480934	4191332	1481971	0	1119695	566556	642967	985119	481182	1127926	3556638
s__Streptococcus_gordonii	8034330	327542	2558538	1777112	1417537	1374378	622547	5901161	680720	5091136	455234	1677303	737407	1698805	630257	936281	1088354	584272	5724942	243649	439326	672434	369449	4547989	1810875	0	4458159	1068652	463250	640565	560032	3255768	5649630	1110116	586490	3608729	831860	2641849
s__Streptococcus_gordonii_A	0	0	0	0	0	0	0	0	0	0	0	0	0	75178	0	0	0	0	34975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Streptococcus_gwangjuense	0	297863	0	674825	0	0	0	2728576	0	883013	707909	0	0	0	0	904467	0	0	3046687	0	0	0	0	0	434432	0	0	0	0	0	0	0	2516638	0	0	0	0	3235175
s__Streptococcus_halitosis	2175014	95423	3459182	1628612	280621	0	228466	0	1201332	350868	421102	889442	455029	546534	2804597	246141	276880	0	2109826	19204	0	348312	2714864	0	1460462	0	64216	190093	0	195208	0	796228	802977	244723	87796	1251392	0	840609
s__Streptococcus_infantis	1033535	1626381	8475612	9343190	7210017	5272018	3641982	980007	2073236	2379675	450678	1897389	1261472	7902574	3168114	3660033	292538	1123894	922840	2095022	4920623	7258052	2622648	2216855	2942735	3869856	1243429	2607811	744886	2840021	4917116	2280320	1169794	7157205	2294240	2761799	5022793	885312
s__Streptococcus_infantis_B	1089069	6547967	3713902	1271844	942303	920216	294162	6623195	5066741	1490257	1958125	2050772	695979	3531077	1966782	1413904	388127	1409026	2125046	4055168	827743	1331588	2997302	2517571	870559	2854285	1516585	3726491	48009	3728880	5937811	3536934	1415156	1457950	1405162	5695846	382273	66061
s__Streptococcus_infantis_C	488641	1210942	585578	629425	541578	3003456	319357	587490	1644950	832505	785367	276488	200011	3343842	971294	255956	344580	655080	595737	512962	246615	771215	414781	265902	857163	1102208	131760	2259274	229922	325607	3552945	779640	1759589	1523220	602120	294096	880883	199355
s__Streptococcus_infantis_E	691417	2025425	189804	2345712	377484	2360257	420226	978532	476485	1070135	499837	11253324	1177790	1203261	1106706	1551806	283823	2292224	1548331	1180724	213434	610169	1100956	2705464	427006	314229	1501696	3414996	212764	564807	1319303	1320947	540780	923163	1521055	1700836	1611990	348013
s__Streptococcus_infantis_F	965072	1027911	893130	5139443	1156357	4233243	1163924	1333257	799651	1956330	1092890	11465466	476533	1614022	1370886	228108	822297	2953389	1718656	3080587	628870	1586506	2901518	10117552	796005	1575629	4366029	8981058	977349	1033222	1121178	1557837	1315515	3741094	1725748	912109	1435807	2103223
s__Streptococcus_infantis_G	1143703	254695	1370740	1342315	1027596	1282870	353626	550310	653591	684351	837428	985516	154711	968698	1762221	836799	36810	743187	544228	636007	346838	3334590	794494	957455	518211	1006755	398921	1174191	663206	304293	1179938	744634	1310932	238342	1549318	2009571	321893	404388
s__Streptococcus_infantis_H	351991	1147390	4063741	975746	1517303	2881370	1560957	1281908	1239172	1964414	686859	3565726	406158	1391778	1788917	368404	228839	2852577	875960	524553	1049596	1895827	682871	1203807	802371	3793066	711848	2237893	242335	528894	743165	925368	1211454	963823	2507035	2029818	1085491	158460
s__Streptococcus_infantis_I	1070169	2047450	5360306	11388945	3757240	3391128	2791267	3910247	4551040	5885366	1238708	2039575	2610554	10720457	9563611	4432962	1081788	2771706	5705462	2461556	4468273	6854217	4087086	1868829	3281102	3438946	2179606	10820924	1815900	6605358	3099142	2655759	1544180	4740295	6896041	4758993	4711318	2735385
s__Streptococcus_intermedius	1136547	141595	1797578	702542	204076	0	257503	392384	112012	1452476	182542	942603	216165	477354	304867	1764836	573134	3459184	613145	65914	0	270368	1342297	659949	435182	0	301073	57907	951314	1019553	0	492270	251489	165080	437932	527952	702445	779068
s__Streptococcus_koreensis	821385	1191718	15052287	3815379	3806370	4212913	12079969	910973	2090576	1550153	1272362	5641561	684795	2168950	1811234	469820	5320660	28278425	1643064	12647349	16754507	625343	1350070	1479678	1634280	20023024	977102	17549508	655176	943375	1643598	1330062	1678035	1201672	707463	23218935	1133274	2100121
