genome	gc	mode	ptr	rep	depth	log2ptr	note
g08_Escherichia_coli	50.8000	E_s200	1.5000	2	5.0000	1.4842	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	1	0.5000	1.5266	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	1	1.0000	1.9331	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	1	2.0000	1.9570	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	1	5.0000	2.0005	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	2	0.5000	1.4512	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	2	1.0000	1.8616	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	2	2.0000	1.9360	ok
g08_Escherichia_coli	50.8000	E_s200	2.0000	2	5.0000	1.9966	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	1	0.5000	0.3164	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	1	1.0000	0.3675	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	1	2.0000	0.4174	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	1	5.0000	0.4791	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	2	0.5000	0.3756	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	2	1.0000	0.4752	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	2	2.0000	0.4790	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	0.5000	2	5.0000	0.4875	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	1	0.5000	0.7216	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	1	1.0000	0.8972	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	1	2.0000	0.9604	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	1	5.0000	0.9923	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	2	0.5000	0.7476	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	2	1.0000	0.9325	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	2	2.0000	0.9371	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.0000	2	5.0000	1.0230	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	1	0.5000	1.1250	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	1	1.0000	1.3919	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	1	2.0000	1.5032	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	1	5.0000	1.4729	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	2	0.5000	1.0301	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	2	1.0000	1.3223	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	2	2.0000	1.4304	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	1.5000	2	5.0000	1.4948	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	1	0.5000	1.4627	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	1	1.0000	1.7748	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	1	2.0000	1.9576	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	1	5.0000	1.9566	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	2	0.5000	1.6538	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	2	1.0000	1.8250	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	2	2.0000	1.9293	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k16	2.0000	2	5.0000	1.9494	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	1	0.5000	0.3674	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	1	1.0000	0.4311	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	1	2.0000	0.4266	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	1	5.0000	0.4861	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	2	0.5000	0.3226	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	2	1.0000	0.4545	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	2	2.0000	0.4932	ok
g13_Pseudomonas_aeruginosa	65.3000	A_k8	0.5000	2	5.0000	0.4905	ok
