genome	gc	arm	cond	ptr	rep	depth	log2ptr	coverage	note
g08_Escherichia_coli	50.8000	enzyme	scafSelf	2.0000	1	5.0000	2.0451	4.1400	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	2.0000	2	1.0000	1.7015	0.8634	ok
g08_Escherichia_coli	50.8000	enzyme	scafSelf	2.0000	2	5.0000	2.0165	4.0779	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	0.5000	1	1.0000	0.4618	0.8023	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	0.5000	1	5.0000	0.4682	4.0000	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	0.5000	2	1.0000	0.3933	0.7933	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	0.5000	2	5.0000	0.4518	4.0154	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	1.0000	1	1.0000	0.9095	0.8044	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	1.0000	1	5.0000	1.0315	4.0383	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	1.0000	2	1.0000	0.8975	0.7995	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	1.0000	2	5.0000	1.0015	4.0326	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	2.0000	1	1.0000	1.8751	0.8134	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	2.0000	1	5.0000	1.9907	4.0429	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	2.0000	2	1.0000	1.7738	0.8113	ok
g08_Escherichia_coli	50.8000	sketch	scafSelf	2.0000	2	5.0000	2.0475	4.0302	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	0.5000	1	1.0000	0.3675	0.8295	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	0.5000	1	5.0000	0.4791	4.0944	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	0.5000	2	1.0000	0.4752	0.8183	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	0.5000	2	5.0000	0.4875	4.0800	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	1.0000	1	1.0000	0.8972	0.8068	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	1.0000	1	5.0000	0.9923	4.0633	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	1.0000	2	1.0000	0.9325	0.8267	ok
g13_Pseudomonas_aeruginosa	65.3000	enzyme	complete	1.0000	2	5.0000	1.0230	4.0953	ok
