flag_config	arm	medium	cov	log2ptr	growth_rate	pred
with_windows	E_s250	M12	10.0000	1.1475	1.0220	1.1568
with_windows	E_s250	M12	1.0000	0.9900	1.0220	1.1568
with_windows	E_s250	M12	2.0000	0.8815	1.0220	1.1568
with_windows	E_s250	M12	5.0000	1.1318	1.0220	1.1568
with_windows	E_s250	M13	0.5000	0.4903	0.8612	1.0326
with_windows	E_s250	M13	10.0000	1.0255	0.8612	1.0326
with_windows	E_s250	M13	1.0000	0.7879	0.8612	1.0326
with_windows	E_s250	M13	2.0000	0.9163	0.8612	1.0326
with_windows	E_s250	M13	5.0000	0.9803	0.8612	1.0326
with_windows	E_s250	M17	0.5000	0.1799	0.7440	0.7020
with_windows	E_s250	M17	10.0000	0.7770	0.7440	0.7020
with_windows	E_s250	M17	1.0000	0.6544	0.7440	0.7020
with_windows	E_s250	M17	2.0000	0.6146	0.7440	0.7020
with_windows	E_s250	M17	5.0000	0.7135	0.7440	0.7020
with_windows	E_s250	M18	0.5000	0.1815	0.7413	0.8578
with_windows	E_s250	M18	10.0000	0.8194	0.7413	0.8578
with_windows	E_s250	M18	1.0000	0.9557	0.7413	0.8578
with_windows	E_s250	M18	2.0000	0.7670	0.7413	0.8578
with_windows	E_s250	M18	5.0000	0.8844	0.7413	0.8578
with_windows	E_s250	M19	0.5000	0.2281	0.5776	0.8862
with_windows	E_s250	M19	10.0000	0.8759	0.5776	0.8862
with_windows	E_s250	M19	1.0000	0.4811	0.5776	0.8862
with_windows	E_s250	M19	2.0000	0.3573	0.5776	0.8862
with_windows	E_s250	M19	5.0000	0.8590	0.5776	0.8862
with_windows	E_s250	M1	0.5000	0.0800	1.7207	1.7250
with_windows	E_s250	M1	10.0000	1.7306	1.7207	1.7250
with_windows	E_s250	M1	1.0000	1.5661	1.7207	1.7250
with_windows	E_s250	M1	2.0000	1.7329	1.7207	1.7250
with_windows	E_s250	M1	5.0000	1.6652	1.7207	1.7250
with_windows	E_s250	M22	0.5000	0.0459	0.4892	0.7233
with_windows	E_s250	M22	10.0000	0.7011	0.4892	0.7233
with_windows	E_s250	M22	1.0000	0.5784	0.4892	0.7233
with_windows	E_s250	M22	2.0000	0.7101	0.4892	0.7233
with_windows	E_s250	M22	5.0000	0.7240	0.4892	0.7233
with_windows	E_s250	M23	0.5000		0.4770	0.5420
with_windows	E_s250	M23	10.0000	0.5732	0.4770	0.5420
with_windows	E_s250	M23	1.0000	0.0566	0.4770	0.5420
with_windows	E_s250	M23	2.0000	0.5176	0.4770	0.5420
with_windows	E_s250	M23	5.0000	0.5023	0.4770	0.5420
with_windows	E_s250	M24	0.5000	0.3511	0.4648	0.6861
with_windows	E_s250	M24	10.0000	0.6451	0.4648	0.6861
with_windows	E_s250	M24	1.0000	0.5151	0.4648	0.6861
with_windows	E_s250	M24	2.0000	0.6439	0.4648	0.6861
with_windows	E_s250	M24	5.0000	0.5705	0.4648	0.6861
with_windows	E_s250	M25	0.5000	0.0532	0.4346	0.6425
with_windows	E_s250	M25	10.0000	0.6892	0.4346	0.6425
with_windows	E_s250	M25	1.0000	0.7251	0.4346	0.6425
with_windows	E_s250	M25	2.0000	0.5213	0.4346	0.6425
with_windows	E_s250	M25	5.0000	0.5697	0.4346	0.6425
with_windows	E_s250	M27	0.5000		0.3992	0.5526
with_windows	E_s250	M27	10.0000	0.5339	0.3992	0.5526
with_windows	E_s250	M27	1.0000	0.5471	0.3992	0.5526
with_windows	E_s250	M27	2.0000	0.2519	0.3992	0.5526
with_windows	E_s250	M27	5.0000	0.6086	0.3992	0.5526
with_windows	E_s250	M2	0.5000	0.8964	1.5100	1.6844
with_windows	E_s250	M2	10.0000	1.7995	1.5100	1.6844
with_windows	E_s250	M2	1.0000	1.1306	1.5100	1.6844
with_windows	E_s250	M2	2.0000	1.6550	1.5100	1.6844
with_windows	E_s250	M2	5.0000	1.4924	1.5100	1.6844
with_windows	E_s250	M3	0.5000	0.5215	1.4380	1.4630
with_windows	E_s250	M3	10.0000	1.4967	1.4380	1.4630
with_windows	E_s250	M3	1.0000	1.0925	1.4380	1.4630
with_windows	E_s250	M3	2.0000	1.3232	1.4380	1.4630
with_windows	E_s250	M3	5.0000	1.4829	1.4380	1.4630
with_windows	E_s250	M4	0.5000	1.0718	1.3718	1.5315
with_windows	E_s250	M4	10.0000	1.5503	1.3718	1.5315
with_windows	E_s250	M4	1.0000	1.1481	1.3718	1.5315
with_windows	E_s250	M4	2.0000	1.4819	1.3718	1.5315
with_windows	E_s250	M4	5.0000	1.4729	1.3718	1.5315
with_windows	E_s250	M6	0.5000	1.0014	1.3549	1.3298
with_windows	E_s250	M6	10.0000	1.4538	1.3549	1.3298
with_windows	E_s250	M6	1.0000	0.8297	1.3549	1.3298
with_windows	E_s250	M6	2.0000	1.1153	1.3549	1.3298
with_windows	E_s250	M6	5.0000	1.4384	1.3549	1.3298
with_windows	E_s250	RUN_OUT	0.5000	0.0737		
with_windows	E_s250	RUN_OUT	10.0000	0.0100		
with_windows	E_s250	RUN_OUT	1.0000	0.2210		
with_windows	E_s250	RUN_OUT	2.0000			
with_windows	E_s250	RUN_OUT	5.0000	0.0412		
without_windows	A_k16	M10	0.5000	0.6337	1.1500	1.2108
without_windows	A_k16	M10	10.0000	1.2332	1.1500	1.2108
without_windows	A_k16	M10	1.0000	0.7320	1.1500	1.2108
without_windows	A_k16	M10	2.0000	0.9019	1.1500	1.2108
without_windows	A_k16	M10	5.0000	1.2080	1.1500	1.2108
without_windows	A_k16	M12	0.5000	0.3977	1.0220	1.1568
without_windows	A_k16	M12	10.0000	1.1640	1.0220	1.1568
without_windows	A_k16	M12	1.0000	0.8505	1.0220	1.1568
without_windows	A_k16	M12	2.0000	1.1679	1.0220	1.1568
without_windows	A_k16	M12	5.0000	1.1010	1.0220	1.1568
without_windows	A_k16	M13	0.5000	0.5450	0.8612	1.0326
without_windows	A_k16	M13	10.0000	1.0277	0.8612	1.0326
without_windows	A_k16	M13	1.0000	0.6839	0.8612	1.0326
without_windows	A_k16	M13	2.0000	0.9352	0.8612	1.0326
without_windows	A_k16	M13	5.0000	1.0367	0.8612	1.0326
without_windows	A_k16	M17	0.5000	0.6095	0.7440	0.7020
without_windows	A_k16	M17	10.0000	0.7039	0.7440	0.7020
without_windows	A_k16	M17	1.0000	0.5202	0.7440	0.7020
without_windows	A_k16	M17	2.0000	0.5993	0.7440	0.7020
without_windows	A_k16	M17	5.0000	0.6570	0.7440	0.7020
without_windows	A_k16	M18	0.5000	0.5990	0.7413	0.8578
without_windows	A_k16	M18	10.0000	0.8408	0.7413	0.8578
without_windows	A_k16	M18	1.0000	0.6696	0.7413	0.8578
without_windows	A_k16	M18	2.0000	0.8877	0.7413	0.8578
without_windows	A_k16	M18	5.0000	0.8599	0.7413	0.8578
without_windows	A_k16	M19	0.5000	0.4708	0.5776	0.8862
without_windows	A_k16	M19	10.0000	0.8648	0.5776	0.8862
without_windows	A_k16	M19	1.0000	0.9042	0.5776	0.8862
without_windows	A_k16	M19	2.0000	0.6549	0.5776	0.8862
without_windows	A_k16	M19	5.0000	0.8252	0.5776	0.8862
without_windows	A_k16	M1	0.5000	0.4581	1.7207	1.7250
without_windows	A_k16	M1	10.0000	1.7615	1.7207	1.7250
without_windows	A_k16	M1	1.0000	1.3785	1.7207	1.7250
without_windows	A_k16	M1	2.0000	1.6898	1.7207	1.7250
without_windows	A_k16	M1	5.0000	1.6794	1.7207	1.7250
without_windows	A_k16	M22	0.5000	0.3904	0.4892	0.7233
without_windows	A_k16	M22	10.0000	0.6996	0.4892	0.7233
without_windows	A_k16	M22	1.0000	0.6177	0.4892	0.7233
without_windows	A_k16	M22	2.0000	0.6762	0.4892	0.7233
without_windows	A_k16	M22	5.0000	0.6557	0.4892	0.7233
without_windows	A_k16	M23	0.5000	0.4431	0.4770	0.5420
without_windows	A_k16	M23	10.0000	0.5568	0.4770	0.5420
without_windows	A_k16	M23	1.0000	0.5436	0.4770	0.5420
without_windows	A_k16	M23	2.0000	0.5955	0.4770	0.5420
without_windows	A_k16	M23	5.0000	0.5586	0.4770	0.5420
without_windows	A_k16	M24	0.5000	0.6201	0.4648	0.6861
without_windows	A_k16	M24	10.0000	0.6228	0.4648	0.6861
without_windows	A_k16	M24	1.0000	0.6542	0.4648	0.6861
without_windows	A_k16	M24	2.0000	0.7727	0.4648	0.6861
without_windows	A_k16	M24	5.0000	0.6700	0.4648	0.6861
without_windows	A_k16	M25	0.5000	0.3353	0.4346	0.6425
without_windows	A_k16	M25	10.0000	0.6021	0.4346	0.6425
without_windows	A_k16	M25	1.0000	0.5634	0.4346	0.6425
without_windows	A_k16	M25	2.0000	0.6072	0.4346	0.6425
without_windows	A_k16	M25	5.0000	0.5822	0.4346	0.6425
without_windows	A_k16	M27	0.5000	0.2825	0.3992	0.5526
without_windows	A_k16	M27	10.0000	0.5145	0.3992	0.5526
without_windows	A_k16	M27	1.0000	0.3616	0.3992	0.5526
without_windows	A_k16	M27	2.0000	0.4252	0.3992	0.5526
without_windows	A_k16	M27	5.0000	0.5302	0.3992	0.5526
without_windows	A_k16	M2	0.5000	1.0547	1.5100	1.6844
